"Games played","Drawn*","Lost","Goals for","Goals against","Goals difference"
"1","0","0","6","0","6.0"
"7","0","6","1","19","-18.0"
"9","3","4","14","20","-6.0"
"7","1","1","10","3","7.0"
"3","1","2","2","5","-3.0"
"1","0","1","0","4","-4.0"
"10","0","0","44","3","41.0"
"23","3","8","40","29","11.0"
"1","0","1","0","5","-5.0"
"7","1","0","33","5","28.0"
"11","2","9","3","32","-31.0"
"10","2","2","22","10","12.0"
"1","0","1","2","4","-2.0"
"3","0","2","3","7","-4.0"
"1","0","1","1","2","-1.0"
"1","0","1","0","3","-3.0"
"21","5","6","33","24","9.0"
"22","6","6","45","27","16.0"
"56","19","18","82","75","7.0"
"5","0","5","0","11","-11.0"
"8","3","5","3","14","-11.0"
"2","0","2","3","11","-8.0"
"1","0","1","0","2","-2.0"
"22","7","7","31","26","5.0"
"3","2","1","0","1","-1.0"
"1","1","0","0","0","0.0"
"9","1","2","17","8","9.0"
"12","2","8","8","29","-21.0"
"11","2","1","36","5","31.0"
"2","0","0","9","0","9.0"
"1","0","0","3","1","2.0"
"3","2","1","2","2","0.0"
"1","0","1","0","1","-1.0"
"2","0","0","14","0","14.0"
"3","0","0","8","1","7.0"
"3","0","2","3","8","-5.0"
"46","8","17","84","65","19.0"
"6","0","1","21","0","21.0"
"13","2","9","9","31","-22.0"
"8","3","4","5","14","-9.0"
"5","0","4","2","6","-4.0"
"4","0","1","15","4","11.0"
"3","0","2","4","6","-2.0"
"2","0","0","15","2","13.0"
"15","3","1","59","3","56.0"
"6","3","3","3","11","-8.0"
"10","2","7","8","21","-13.0"
"1","0","0","1","0","1.0"
"48","16","13","75","55","20.0"
"54","9","34","47","98","-51.0"
"13","3","3","27","15","12.0"
"7","0","1","23","6","17.0"
"1","0","1","1","3","-2.0"
"2","0","0","9","3","6.0"
"75","27","19","108","90","18.0"
"1","0","0","5","0","5.0"
"6","0","4","4","10","-6.0"
"1","0","0","3","0","3.0"
"1","0","1","0","6","-6.0"
"6","0","6","2","21","-19.0"
"13","3","6","11","12","-1.0"
"2","0","0","3","1","2.0"
