"Year","Competition","Location","Event","Final-Rank","Final-Score","Qualifying Rank","Qualifying Score"
"2008-01-01T00:00:00","2008 Summer Olympics","Beijing","Team","2","186.525","2","246.8"
"2008-01-01T00:00:00","2008 Summer Olympics","Beijing","Uneven Bars","DNQ","","23","14.8"
"2008-01-01T00:00:00","Olympic Trials","Philadelphia","All Around","4","61.85","4","61.4"
"2008-01-01T00:00:00","Olympic Trials","Philadelphia","Balance Beam","4","15.55","4","15.8"
"2008-01-01T00:00:00","Olympic Trials","Philadelphia","Floor Exercise","2","15.5","3","15.65"
"2008-01-01T00:00:00","Olympic Trials","Philadelphia","Uneven Bars","6","15.2","5","15.3"
"2008-01-01T00:00:00","Olympic Trials","Philadelphia","Vault","4","15.15","3","15.1"
"2008-01-01T00:00:00","U.S. Championships","Boston","All Around","4","61.25","4","60.75"
"2008-01-01T00:00:00","U.S. Championships","Boston","Balance beam","5","16.0","5","15.4"
"2008-01-01T00:00:00","U.S. Championships","Boston","Floor Exercise","10","14.75","4","15.2"
"2008-01-01T00:00:00","U.S. Championships","Boston","Uneven Bars","6","15.55","6","15.15"
