"Year","Date","Home Team","Result","Visiting Team","Venue","Attendance"
"1980-01-01T00:00:00","2000-10-05T00:00:00","Los Angeles Rams","48-26","San Francisco 49ers","Anaheim Stadium","62,188"
"1980-01-01T00:00:00","2000-10-19T00:00:00","San Francisco 49ers","17-31","Los Angeles Rams","Candlestick Park","55,306"
"1981-01-01T00:00:00","2000-10-25T00:00:00","San Francisco 49ers","20-17","Los Angeles Rams","Candlestick Park","59,190"
"1981-01-01T00:00:00","2000-11-22T00:00:00","Los Angeles Rams","31-33","San Francisco 49ers","Anaheim Stadium","63,456"
"1982-01-01T00:00:00","2000-12-02T00:00:00","Los Angeles Rams","24-30","San Francisco 49ers","Anaheim Stadium","58,574"
"1982-01-01T00:00:00","2000-01-02T00:00:00","San Francisco 49ers","20-21","Los Angeles Rams","Candlestick Park","54,256"
"1983-01-01T00:00:00","2000-10-09T00:00:00","San Francisco 49ers","7-10","Los Angeles Rams","Candlestick Park","59,119"
"1983-01-01T00:00:00","2000-10-23T00:00:00","Los Angeles Rams","35-45","San Francisco 49ers","Anaheim Stadium","66,070"
"1984-01-01T00:00:00","2000-10-28T00:00:00","Los Angeles Rams","0-33","San Francisco 49ers","Anaheim Stadium","65,481"
"1984-01-01T00:00:00","2000-12-14T00:00:00","San Francisco 49ers","19-16","Los Angeles Rams","Candlestick Park","59,743"
"1985-01-01T00:00:00","2000-10-27T00:00:00","Los Angeles Rams","14-28","San Francisco 49ers","Anaheim Stadium","65,939"
"1985-01-01T00:00:00","2000-12-09T00:00:00","San Francisco 49ers","20-27","Los Angeles Rams","Candlestick Park","60,581"
"1986-01-01T00:00:00","2000-09-14T00:00:00","Los Angeles Rams","16-13","San Francisco 49ers","Anaheim Stadium","65,195"
"1986-01-01T00:00:00","2000-12-19T00:00:00","San Francisco 49ers","24-14","Los Angeles Rams","Candlestick Park","60,366"
"1987-01-01T00:00:00","2000-11-01T00:00:00","Los Angeles Rams","10-31","San Francisco 49ers","Anaheim Stadium","55,328"
"1987-01-01T00:00:00","2000-12-27T00:00:00","San Francisco 49ers","48-0","Los Angeles Rams","Candlestick Park","57,950"
"1988-01-01T00:00:00","2000-10-16T00:00:00","Los Angeles Rams","21-24","San Francisco 49ers","Anaheim Stadium","65,450"
"1988-01-01T00:00:00","2000-12-18T00:00:00","San Francisco 49ers","16-38","Los Angeles Rams","Candlestick Park","62,444"
"1989-01-01T00:00:00","2000-10-01T00:00:00","San Francisco 49ers","12-13","Los Angeles Rams","Candlestick Park","64,250"
"1989-01-01T00:00:00","2000-12-11T00:00:00","Los Angeles Rams","27-30","San Francisco 49ers","Anaheim Stadium","67,959"
"1989-01-01T00:00:00","2000-01-14T00:00:00","San Francisco 49ers","30-3","Los Angeles Rams","Candlestick Park","64,769"
