"Name","Country","Type","Transfer window","Transfer fee","Apps","Goals"
"Thompson","ENG","Retired","Summer","","25","5"
"Kenton","ENG","Out of Contract","Summer","","16","0"
"Constantine","ENG","Transferred","Summer","Free","6","2"
"Ameobi","ENG","Transferred","Summer","£ 30k","2","0"
"Elding","ENG","Transferred","Summer","£160k","9","1"
"Sorsa","FIN","Released","Summer","","0","0"
"Bayly","IRE","Released","Summer","","3","0"
"Weston","ENG","Transferred","Summer","Free","11","1"
"Carole","FRA","Released","Summer","","52","3"
"Assoumani","MLI FRA","Out of Contract","Winter","","1","0"
"Westlake","ENG","Released","Winter","","52","3"
"Christie","ENG","Released 1","Winter","","5","1"
"Gardner","ENG LUX","Released","Winter","","2","0"
"Telfer","ENG","Released","Winter","","18","0"
"Lund","ENG","Released","Winter","","0","0"
"Booth","ENG","Released","Winter","","0","0"
"Cartman","ENG","Released","Winter","","0","0"
"Edwards","ENG","Released","Winter","","0","0"
"Jerome","ENG","Released","Winter","","0","0"
"Ovington","ENG","Released","Winter","","0","0"
"Wilkinson","ENG","Released","Winter","","0","0"
