"Saddle cloth","Horse","Trainer","Jockey","Weight (kg)","Barrier [b ]","Placing"
"1","Viewed","Bart Cummings","Brad Rawiller","58.0","9","7"
"2","C'est La Guerre","John Sadler","Nicholas Hall","55.5","7","8"
"3","Fiumicino","M,W & J Hawkes","Steven King","55.5","24","22"
"4","Master O'Reilly","Danny O'Brien","Vlad Duric","55.0","16","4"
"5","Mourilyan","Herman Brown","Glyn Schofield","54.5","14","3"
"6","Roman Emperor","Bart Cummings","Hugh Bowman","54.0","15","21"
"7","Ista Kareem","Colin Little","Luke Nolen","53.5","23","15"
"8","Crime Scene","Saeed bin Suroor","Kerrin McEvoy","53.0","11","2"
"9","Munsef","Ian Williams","Zac Purton","53.0","5","12"
"10","Zavite","Anthony Cummings","Mark Zahra","53.0","3","19"
"11","Alcopop","Jake Stephens","Dom Tournuer","52.5","12","6"
"12","Harris Tweed","Murray & Bjorn Baker","Craig Newitt","52.5","20","5"
"13","Kibbutz","Jarrod McLean","Chris Symons","52.5","8","9"
"14","Newport","Paul Perry","Peter Wells","52.5","18","10"
"15","Warringah","Chris Waller","Damien Oliver","52.5","8","23"
"16","Gallions Reach","Richard Yuill","Dwayne Dunn","52.0","6","13"
"17","Spin Around","Steven Cooper","Mark Du Plessis","52.0","4","20"
"18","Basaltico","Luca Cumani","Danny Nikolic","51.5","10","18"
"19","Capecover","Alexander R Fieldes","Noel Harris","51.5","19","17"
"20","Daffodil","Kevin Gray","Chris Munce","51.5","21","11"
"21","Shocking","Mark Kavanagh","Corey Brown","51.0","22","1"
"22","Allez Wonder","Bart Cummings","Michelle Payne","50.5","13","16"
"23","Changingoftheguard","David A. Hayes","Glen Boss","50.5","1","SCR"
