"Year","Class","Team name","Bike","Riders","Races","Wins","Podiums","Poles","F.laps","Points","Pos."
"1996-01-01T00:00:00","125cc","Honda Team GP3","Honda","Lucio Cecchinello","15","0","0","0","0","59","15"
"1997-01-01T00:00:00","125cc","Spidi Honda LCR","Honda","Lucio Cecchinello","15","0","0","0","0","73","14"
"1998-01-01T00:00:00","125cc","Givi Honda LCR","Honda","Lucio Cecchinello","13","1","3","0","1","130","5"
"1998-01-01T00:00:00","125cc","Givi Honda LCR","Honda","Noboru Ueda","8","1","1","4","0","62","13"
"1998-01-01T00:00:00","125cc","Givi Honda LCR","Honda","Hiroyuki Kikuchi","6","0","1","0","0","51","15"
"1999-01-01T00:00:00","125cc","Givi Honda LCR","Honda","Noboru Ueda","16","1","6","1","2","171","5"
"1999-01-01T00:00:00","125cc","Givi Honda LCR","Honda","Lucio Cecchinello","16","0","4","3","0","108","9"
"2000-01-01T00:00:00","125cc","Givi Honda LCR","Honda","Noboru Ueda","16","0","4","1","2","153","5"
"2000-01-01T00:00:00","125cc","Givi Honda LCR","Honda","Lucio Cecchinello","16","0","0","0","0","91","11"
"2001-01-01T00:00:00","125cc","MS Aprilia LCR","Aprilia","Lucio Cecchinello","16","1","4","1","2","156","4"
"2001-01-01T00:00:00","125cc","MS Aprilia LCR","Aprilia","Raúl Jara","16","0","0","0","0","9","26"
"2002-01-01T00:00:00","250cc","Safilo Oxydo Race LCR","Aprilia","Casey Stoner","15","0","0","0","0","68","12"
"2002-01-01T00:00:00","250cc","Safilo Oxydo Race LCR","Aprilia","David Checa","15","0","0","0","0","60","13"
"2002-01-01T00:00:00","125cc","Safilo Oxydo Race LCR","Aprilia","Lucio Cecchinello","16","3","5","0","5","180","4"
"2002-01-01T00:00:00","125cc","Safilo Oxydo Race LCR","Aprilia","Alex de Angelis","16","0","1","1","0","87","9"
"2003-01-01T00:00:00","250cc","Safilo Oxydo - LCR","Aprilia","Randy de Puniet","16","3","9","5","2","208","4"
"2003-01-01T00:00:00","125cc","Safilo Oxydo - LCR","Aprilia","Casey Stoner","14","1","4","1","2","125","8"
"2003-01-01T00:00:00","125cc","Safilo Oxydo - LCR","Aprilia","Lucio Cecchinello","16","2","3","0","2","112","9"
"2004-01-01T00:00:00","250cc","Safilo Carrera - LCR","Aprilia","Randy de Puniet","16","1","8","2","0","214","3"
"2004-01-01T00:00:00","125cc","Safilo Carrera - LCR","Aprilia","Roberto Locatelli","16","2","6","1","1","192","3"
"2004-01-01T00:00:00","125cc","Safilo Carrera - LCR","Aprilia","Mattia Pasini","16","0","0","0","0","54","15"
"2005-01-01T00:00:00","250cc","Carrera Sunglasses - LCR","Aprilia","Casey Stoner","16","5","10","2","1","254","2"
"2005-01-01T00:00:00","250cc","Carrera Sunglasses - LCR","Aprilia","Roberto Locatelli","16","0","0","0","0","61","13"
"2006-01-01T00:00:00","MotoGP","Honda LCR","Honda RC211V","Casey Stoner","16","0","1","1","0","119","8"
"2007-01-01T00:00:00","MotoGP","Honda LCR","Honda RC212V","Carlos Checa","18","0","0","0","0","65","14"
"2007-01-01T00:00:00","250cc","Honda LCR","Honda RS250R","Eugene Laverty","17","0","0","0","0","6","25"
"2008-01-01T00:00:00","MotoGP","LCR Honda MotoGP","Honda RC212V","Randy de Puniet","18","0","0","0","0","61","15"
"2009-01-01T00:00:00","MotoGP","LCR Honda MotoGP","Honda RC212V","Randy de Puniet","17","0","1","0","0","106","11"
"2010-01-01T00:00:00","MotoGP","LCR Honda MotoGP","Honda RC212V","Randy de Puniet","17","0","0","0","0","116","9"
"2010-01-01T00:00:00","MotoGP","LCR Honda MotoGP","Honda RC212V","Roger Lee Hayden","1","0","0","0","0","5","19"
"2011-01-01T00:00:00","MotoGP","LCR Honda MotoGP","Honda RC212V","Toni Elías","17","0","0","0","0","61","15"
"2011-01-01T00:00:00","MotoGP","LCR Honda MotoGP","Honda RC212V","Kousuke Akiyoshi","1","0","0","0","0","4","20"
"2011-01-01T00:00:00","MotoGP","LCR Honda MotoGP","Honda RC212V","Ben Bostrom","1","0","0","0","0","0",""
"2012-01-01T00:00:00","MotoGP","LCR Honda MotoGP","Honda RC213V","Stefan Bradl","18","0","0","0","0","135","8"
"2013-01-01T00:00:00","MotoGP","LCR Honda MotoGP","Honda RC213V","Stefan Bradl","13","0","1","1","0","124","6"
