"Rank","Commodity","Value (Int $1000)","Production (MT)","Quantity world rank","Value world rank"
"1","Wheat","939150","6400000","19","17"
"2","Indigenous chicken meat","635889","446424","",""
"3","Olives","616541","770000","6","6"
"4","Tomatoes","480433","1300000","17","17"
"5","Indigenous cattle meat","433257","160384","",""
"6","Cow milk, whole, fresh","409566","1750000","",""
"7","Barley","389709","3800000","12","7"
"8","Indigenous sheep meat","325935","119706","",""
"9","Almonds, with shell","307240","104115","5","5"
"10","Oranges","231910","1200000","14","14"
"11","Potatoes","230032","1500000","",""
"12","Hen eggs, in shell","221668","267267","",""
"13","String beans","173716","182180","3","3"
"14","Grapes","171485","300000","",""
"15","Apples","169166","400000","",""
"16","Strawberries","168627","124239","11","11"
"17","Onions, dry","136521","650000","23","23"
"18","Other melons","134386","730000","8","8"
"19","Tangerines, mandarins, clem.","128945","522000","12","12"
