"Episode","Title","Writer","Director","Original airdate","Ratings (Kanto)","Ratings (Kansai)"
"1","Faint","Noriko Goto","Kazuhisa Imai","Apr 6, 2010 22.00 - 23.09","12.4","14.5"
"2","Hyperventilation","Noriko Goto","Kazuhisa Imai","Apr 13, 2010 22.15 - 23.09","14.5","17.2"
"3","Personality Transformation","Akane Yamada","Hisashi Ueda","Apr 20, 2010 22.00 - 22.54","14.7","15.3"
"4","Myocardial infarction","Noriko Goto","Shiraki Keiichiro","Apr 27, 2010 22.00 - 22.54","14.2","14.8"
"5","Pneumonia","Tomokazu Tokunaga","Kazunari Hoshino","May 4, 2010 22.00 - 22.54","12.6","14.7"
"6","Aftermath","Noriko Goto","Kazuhisa Imai","May 11, 2010 22.00 - 22.54","14.8","16.6"
"7","Poisoning","Noriko Goto","Hisashi Ueda","May 18, 2010 22.00 - 22.54","16.0","16.3"
"8","Sentence","Noriko Goto","Kazuhisa Imai","May 25, 2010 22.00 - 22.54","14.7","15.5"
"9","Medical malpractice","Tanaka Shinichi","Kazunari Hoshino","June 1, 2010 22.00 - 22.54","14.6","15.7"
"10","Focus","Tomokazu Tokunaga","Hisashi Ueda","June 8, 2010 22.00 - 22.54","13.8","15.3"
"11","Memory loss","Noriko Goto","Kazuhisa Imai","June 15, 2010 22.00 - 22.54","15.6","15.1"
"12","Critical condition","Noriko Goto","Kazuhisa Imai","June 22, 2010 22.10 - 23.14","15.1","19.2"
