"Year","Manufacturer","Start","Finish","Team"
"1960-01-01T00:00:00","Chevrolet","33","28","Pearson"
"1961-01-01T00:00:00","Pontiac","30","21","Tony Lavati"
"1962-01-01T00:00:00","Pontiac","2","6","Fox"
"1963-01-01T00:00:00","Dodge","50","48","Owens"
"1964-01-01T00:00:00","Dodge","7","30","Owens"
"1966-01-01T00:00:00","Dodge","12","3","Owens"
"1967-01-01T00:00:00","Dodge","15","24","Owens"
"1968-01-01T00:00:00","Ford","4","5","Holman Moody"
"1969-01-01T00:00:00","Ford","3","6","Holman Moody"
"1970-01-01T00:00:00","Mercury","31","2","Holman Moody"
"1971-01-01T00:00:00","Mercury","4","4","Holman Moody"
"1973-01-01T00:00:00","Mercury","20","33","Wood"
"1974-01-01T00:00:00","Mercury","1","35","Wood"
"1975-01-01T00:00:00","Mercury","2","4","Wood"
"1976-01-01T00:00:00","Mercury","7","1","Wood"
"1977-01-01T00:00:00","Mercury","5","21","Wood"
"1978-01-01T00:00:00","Mercury","5","34","Wood"
"1979-01-01T00:00:00","Mercury","9","37","Wood"
"1981-01-01T00:00:00","Chevrolet","9","29","Joel Halpern"
"1983-01-01T00:00:00","Chevrolet","15","8","Bobby Hawkins"
"1984-01-01T00:00:00","Chevrolet","11","9","Bobby Hawkins"
"1985-01-01T00:00:00","Chevrolet","4","28","Ellington"
