"Rank","Player","Lifespan","Country","Wins","Winning span"
"1","Thaworn Wiratchant","1966-01-01T00:00:00","Thailand","16","1996-2013"
"2","Thongchai Jaidee","1969-01-01T00:00:00","Thailand","13","2000-2010"
"3","Jyoti Randhawa","1972-01-01T00:00:00","India","8","1998-2009"
"T4","Arjun Atwal","1973-01-01T00:00:00","India","7","1999-2008"
"T4","Kang Wook-soon","1966-01-01T00:00:00","South Korea","7","1996-2001"
"T4","Charlie Wi","1972-01-01T00:00:00","South Korea","7","1996-2006"
"T4","Prayad Marksaeng","1966-01-01T00:00:00","Thailand","7","1996-2013"
"T8","K. J. Choi ","1970-01-01T00:00:00","South Korea","6","1999-2012"
"T8","Jeev Milkha Singh","1971-01-01T00:00:00","India","6","1995-2008"
"T8","Miguel Ángel Jimenez ^","1964-01-01T00:00:00","Spain","6","2004-2012"
"T8","Lin Wen-tang","1974-01-01T00:00:00","Taiwan","6","2006-2013"
"T12","Boonchu Ruangkit","1956-01-01T00:00:00","Thailand","5","1995-2004"
"T12","Scott Hend","1973-01-01T00:00:00","Australia","5","2008-2013"
"T12","Lin Keng-chi","1966-01-01T00:00:00","Taiwan","5","1995-2003"
"T12","Lu Wen-teh","1963-01-01T00:00:00","Taiwan","5","1998-2008"
"T12","Gerry Norquist","1962-01-01T00:00:00","United States","5","1995-1999"
"T12","Thammanoon Srirot","1969-01-01T00:00:00","Thailand","5","1996-2004"
