"Year","Artist","Album","Record label","Weeks at number one"
"1990-01-01T00:00:00","Madonna","The Immaculate Collection","Sire","9"
"1991-01-01T00:00:00","Queen","Greatest Hits II","Parlophone","1"
"1992-01-01T00:00:00","Cher","Greatest Hits: 1965-1992","Geffen","7"
"1993-01-01T00:00:00","Meat Loaf","Bat Out of Hell II: Back into Hell","Virgin","11"
"1994-01-01T00:00:00","The Beautiful South Category:Articles with hCards","Carry On up the Charts","Go! Discs","7"
"1995-01-01T00:00:00","Robson & Jerome","Robson & Jerome","RCA","7"
"1996-01-01T00:00:00","Spice Girls","Spice","Virgin","15"
"1997-01-01T00:00:00","Celine Dion Category:Articles with hCards","Let's Talk About Love","Epic","5"
"1998-01-01T00:00:00","George Michael Category:Articles with hCards","Ladies & Gentlemen: The Best of George Michael","Epic","8"
"1999-01-01T00:00:00","Shania Twain Category:Articles with hCards","Come On Over","Mercury","11"
