"Satellite","Launch date (UTC)","Decay","Mass(kg)","Diameter(m)","NSSDC ID","Nation","Usage"
"Echo 1","1960-08-12T09:36:00","1968-05-24T00:00:00","180","30.48","1960-009A","US","pcr, ado, spc, tri"
"Explorer 9","1961-02-16T13:12:00","1964-04-09T00:00:00","36","3.66","1961-004A","US","ado"
"Explorer 19","1963-12-19T18:43:00","1981-10-05T00:00:00","7.7","3.66","1963-053A","US","ado"
"Echo 2","1964-01-25T13:55:00","1969-06-07T00:00:00","256","41","1964-004A","US","pcr, tri"
"Explorer 24","1964-11-21T17:17:00","1968-10-18T00:00:00","8.6","3.6","1964-076A","US","ado"
"PAGEOS 1","1966-06-24T00:14:00","1975-07-12T00:00:00","56.7","30.48","1966-056A","US","tri"
"Explorer 39","1968-08-08T20:12:00","1981-06-22T00:00:00","9.4","3.6","1968-066A","US","ado"
"Mylar Balloon","1971-08-07T00:11:00","1981-09-01T00:00:00","0.8","2.13","1971-067F","US","ado"
"Qi Qiu Weixing 1","1990-09-03T00:53:00","1991-03-11T00:00:00","4","3","1990-081B","PRC","ado"
"Qi Qiu Weixing 2","1990-09-03T00:53:00","1991-07-24T00:00:00","4","2.5","1990-081C","PRC","ado"
