"School","Location","Enrolment","Founded","Denomination","Day/Boarding","School Colours","Abbreviation","In competition since"
"All Hallows' School","Brisbane","1,300","1861-01-01T00:00:00","Catholic","Day","Light Blue & White","AHS","1990-01-01T00:00:00"
"Brisbane Girls' Grammar School","Spring Hill","1,150","1875-01-01T00:00:00","Non-Denominational","Day","Royal Blue","BGGS","1991-01-01T00:00:00"
"Brisbane State High School","South Brisbane","2,200","1921-01-01T00:00:00","Non-Denominational","Day","Sangria & Navy Blue","BSHS","1990-01-01T00:00:00"
"Lourdes Hill College","Hawthorne","850","1916-01-01T00:00:00","Catholic","Day & Boarding","Silver, Purple & White","LHC","2000-01-01T00:00:00"
"St Aidan's Anglican Girls' School","Corinda","800","1929-01-01T00:00:00","Anglican","Day","Navy Blue, White & Brown","STA","1990-01-01T00:00:00"
"St Hilda's School","Southport","750","1912-01-01T00:00:00","Anglican","Day & Boarding","Red, Yellow & Blue","STH","1990-01-01T00:00:00"
"St Margaret's Anglican Girls' School","Ascot","900","1895-01-01T00:00:00","Anglican","Day & Boarding","Navy Blue, White & Brown","STM","1990-01-01T00:00:00"
"St Peter's Lutheran College","Indooroopilly","2,000","1945-01-01T00:00:00","Lutheran","Day & Boarding","Maroon & White","SPLC","1990-01-01T00:00:00"
"Stuartholme School","Toowong","700","1920-01-01T00:00:00","Catholic","Day & Boarding","Red, Gold & Blue","STU","1991-01-01T00:00:00"
"Somerville House","South Brisbane","1,200","1899-01-01T00:00:00","Uniting Church","Day & Boarding","Navy Blue, Bottle Green & White","SOM","1990-01-01T00:00:00"
