"Draft Year","Player","Position","Round","Overall","NFL Team"
"1950-01-01T00:00:00","Truett Smith","Fullback","7","86","Pittsburgh Steelers"
"1952-01-01T00:00:00","Dewey McConnell","Defensive Back","3","37","Los Angeles Rams"
"1957-01-01T00:00:00","Jim Crawford","Fullback","14","163","Pittsburgh Steelers"
"1959-01-01T00:00:00","Dale Memmelaar","Guard","21","242","Chicago Cardinals"
"1961-01-01T00:00:00","Jerry Hill","Running Back","3","35","Baltimore Colts"
"1961-01-01T00:00:00","Chuck Lamson","Defensive Back","4","43","Minnesota Vikings"
"1966-01-01T00:00:00","Jerry Marion","Wide Receiver","10","143","Pittsburgh Steelers"
"1967-01-01T00:00:00","Ron Billingsley","Defensive Tackle","1","14","San Diego Chargers"
"1968-01-01T00:00:00","Jerry DePoyster","Kicker","2","37","Detroit Lions"
"1968-01-01T00:00:00","Mike LaHood","Guard","2","51","Los Angeles Rams"
"1968-01-01T00:00:00","Jim Kiick","Running Back","5","118","Miami Dolphins"
"1968-01-01T00:00:00","Mike Dirks","Tackle","5","122","Philadelphia Eagles"
"1968-01-01T00:00:00","Paul Toscano","Defensive Back","7","187","Houston Oilers"
"1969-01-01T00:00:00","Gene Huey","Wide Receiver","5","123","St. Louis Cardinals"
"1969-01-01T00:00:00","David Hampton","Running Back","9","220","Green Bay Packers"
"1969-01-01T00:00:00","Dennis Devlin","Defensive Back","10","240","New England Patriots"
"1970-01-01T00:00:00","Vic Washington","Wide Receiver","4","87","San Francisco 49ers"
"1970-01-01T00:00:00","Larry Nels","Defensive Lineman","12","298","New York Giants"
"1970-01-01T00:00:00","Joe Williams","Back","12","309","Dallas Cowboys"
"1971-01-01T00:00:00","Tony McGee","Defensive End-Tackle","3","64","Chicago Bears"
"1972-01-01T00:00:00","Conrad Dobler","Guard","5","110","St. Louis Cardinals"
"1973-01-01T00:00:00","Nick Bebout","Tackle","6","142","Atlanta Falcons"
"1975-01-01T00:00:00","Mike McGraw","Linebacker","10","255","St. Louis Cardinals"
"1976-01-01T00:00:00","Lawrence Gaines","Running Back","1","16","Detroit Lions"
"1976-01-01T00:00:00","Aaron Kyle","Defensive Back","1","27","Dallas Cowboys"
"1978-01-01T00:00:00","Frank Chesley","Linebacker","6","157","New Orleans Saints"
"1979-01-01T00:00:00","Ken Fantetti","Linebacker","2","37","Detroit Lions"
"1980-01-01T00:00:00","Danny Pittman","Wide Receiver","4","90","New York Giants"
"1981-01-01T00:00:00","Guy Frazier","Linebacker","4","93","Cincinnati Bengals"
"1982-01-01T00:00:00","Jim Eliopulos","Linebacker","3","81","Dallas Cowboys"
"1984-01-01T00:00:00","Chris Kolodziejski","Tight End","2","52","Pittsburgh Steelers"
"1984-01-01T00:00:00","Jay Novacek","Tight End","6","158","St. Louis Cardinals"
"1989-01-01T00:00:00","Eric Coleman","Defensive Back","2","43","New England Patriots"
"1991-01-01T00:00:00","Mitch Donahue","Linebacker","4","95","San Francisco 49ers"
"1992-01-01T00:00:00","Doug Rigby","Defensive End","11","298","Kansas City Chiefs"
"1994-01-01T00:00:00","Ryan Yarborough","Wide Receiver","2","41","New York Jets"
"1995-01-01T00:00:00","Ryan Christopherson","Running Back","5","169","Jacksonville Jaguars"
"1995-01-01T00:00:00","John Burrough","Defensive End","7","245","Atlanta Falcons"
"1997-01-01T00:00:00","Steve Scifres","Guard","3","83","Dallas Cowboys"
"1997-01-01T00:00:00","Lee Vaughn","Defensive Back","6","187","Dallas Cowboys"
"1997-01-01T00:00:00","Marcus Harris","Wide Receiver","7","232","Detroit Lions"
"2001-01-01T00:00:00","Patrick Chukwurah","Linebacker","5","157","Minnesota Vikings"
"2004-01-01T00:00:00","Casey Bramlet","Quarterback","7","218","Cincinnati Bengals"
"2006-01-01T00:00:00","Derrick Martin","Defensive Back","6","208","Baltimore Ravens"
"2007-01-01T00:00:00","John Wendling","Defensive Back","6","184","Buffalo Bills"
