"Contestant","Place","Age","Country","Federal state","City","Height (centimeter)","Measurements (in cm)"
"Alisar Ailabouni","1","20","Austria","Upper Austria","Schalchen","178","86-65-90"
"Hanna Bohnekamp","2","18","Germany","North Rhine Westphalia","Drevenack","173","84-63-90"
"Laura Weyel","3","23","Germany","North Rhine Westphalia","Düsseldorf","175","80-60-89"
"Neele Hehemann","4","21","Germany","Saxony","Dresden","181","84-61-88"
"Louisa Mazzurana","5","22","Germany","Lower Saxony","Hanover","170","83-60-89"
"Leyla Mert","6","19","Germany","Baden-Württemberg","Sindelfingen","180","86-71-91"
"Pauline Afaja","6","19","Germany","Baden-Württemberg","Friedrichshafen","180","80-63-84"
"Viktoria Lantratova","8","22","Germany","North Rhine Westphalia","Detmold","178","87-64-94"
"Jacqueline Kohl","9","18","Germany","Rheinland Pfalz","Lahnstein","180","83-66-87"
"Wioleta Psiuk","10","18","Germany","North Rhine Westphalia","Münster","179","88-64-93"
"Miriam Höller","11","23","Germany","North Rhine Westphalia","Schermbeck","183","85-63-84"
"Nadine Höcherl","12","18","Germany","Bavaria","Rettenbach-Ebersroith","180","85-65-84"
"Catherine Kropp","13","17","Germany","North Rhine Westphalia","Lüdinghausen","180","83-62-90"
"Luisa Krüger","14","18","Germany","North Rhine Westphalia","Lünen","176","88-69-94"
"Lara Emsen","15","16","Germany","Schleswig Holstein","Wedel","180","87-66-96"
"Petra Roschek","16","25","Austria","Vienna","Vienna","179","90-69-95"
"Lena Kaiser","16","17","Germany","North Rhine Westphalia","Datteln","177","89-64-89"
