"Game","Date","Opponent","Result","Packers points","Opponents","First Downs","Record","Streak","Venue","Attendance"
"1","2000-09-17T00:00:00","Detroit Lions","Loss","7","45","11","0-1","Lost 1","City Stadium","22096"
"2","2000-09-24T00:00:00","Washington Redskins","Win","35","21","21","1-1","Won 1","State Fair Park","14109"
"3","2000-10-01T00:00:00","Chicago Bears","Win","31","21","8","2-1","Won 2","City Stadium","24893"
"4","2000-10-08T00:00:00","New York Yanks","Loss","31","44","23","2-2","Lost 1","City Stadium","23871"
"5","2000-10-15T00:00:00","at Chicago Bears","Loss","14","28","11","2-3","Lost 2","Wrigley Field","51065"
"6","2000-10-19T00:00:00","at New York Yanks","Loss","17","35","14","2-4","Lost 3","Yankee Stadium","13661"
"7","2000-11-05T00:00:00","at Baltimore Colts","Loss","21","41","13","2-5","Lost 4","Memorial Stadium","12971"
"8","2000-11-12T00:00:00","Los Angeles Rams","Loss","14","45","17","2-6","Lost 5","State Fair Park","20456"
"9","2000-11-19T00:00:00","at Detroit Lions","Loss","21","24","16","2-7","Lost 6","Briggs Stadium","17752"
"10","2000-11-26T00:00:00","San Francisco 49ers","Win","25","21","13","3-7","Won 1","City Stadium","13196"
"11","2000-12-03T00:00:00","at Los Angeles Rams","Loss","14","51","13","3-8","Lost 1","Los Angeles Memorial Coliseum","39323"
