"Frequency (FM)","Name","Format","Call Sign","Covered Location"
"88.3","Jam 88.3","Alternative rock , Modern rock","DWJM","Metro Manila"
"89.1","Wave 89.1","Rhythmic Contemporary , r&b , slow jam","DWAV","Metro Manila"
"89.9","Magic 89.9","Top 40  , Pop","DWTM","Metro Manila"
"90.7","90.7 Love Radio","Hot Adult Contemporary , Pop , OPM","DZMB","Metro Manila"
"91.5","91.5 Big Radio","Rhythmic Contemporary , Pop , OPM","DWKY","Metro Manila"
"92.3","Radyo5 92.3 News FM","News and Information / Talk","DWFM","Metro Manila"
"93.1","Monster Radio RX 93.1","Urban Contemporary , Pop","DWRX","Metro Manila"
"93.9","93.9 iFM","Hot Adult Contemporary , Pop , OPM","DWKC","Metro Manila"
"94.7","Mellow 947","Adult Contemporary , s Love song","DWLL","Metro Manila"
"95.5","Pinas FM 95.5","Adult Contemporary , Pop , OPM","DWDM","Metro Manila"
"96.3","96.3 Easy Rock","Lite Rock , s Love song","DWRK","Metro Manila"
"97.1","Barangay LS 97.1","Adult Top 40  , Pop , OPM","DWLS","Metro Manila"
"97.9","97dot9 Home Radio","Soft Adult Contemporary , s Love song","DWQZ","Metro Manila"
"98.7","98.7 The Master's Touch","Classical","DZFE","Metro Manila"
"99.5","99.5 Play FM","CHR/Pop , Pop","DWRT","Metro Manila"
"100.3","RJ 100","Classic Hits , Oldies","DZRJ","Metro Manila"
"101.1","101.1 Yes FM","Top 40  , Pop , OPM","DWYS","Metro Manila"
"101.9","MOR 101.9 For Life!","OPM , Foreign Hits","DWRR","Metro Manila"
"102.7","102.7 Star FM","Hot Adult Contemporary , Pop , OPM","DWSM","Metro Manila"
"103.5","103.5 K-Lite FM","Adult Contemporary","DWKX","Metro Manila"
"104.3","104.3 Business Radio","Business News , Talks , Classic OPM","DWBR","Metro Manila"
"105.1","105.1 Crossover","Smooth AC , Jazz , Blues , Bossa Nova","DWBM","Metro Manila"
"105.9","Radio High 105.9","Smooth AC , Jazz , Blues , Bossa Nova","DWLA","Metro Manila"
"106.7","106.7 Energy FM","Top 40  , Pop , OPM","DWET","Metro Manila"
"107.5","107.5 Win Radio","Adult Top 40 , Pop , OPM","DWNU","Metro Manila"
