"Draw","Song","Performer","Points","Rank"
"1","Sve sto si ti","Valentina Brzovic","2","17"
"2","Nebo","Zorica Kondza","78","7"
"3","Zivot iza ponoci","Ready Cool","32","15"
"4","Jos te volim kao nekada","Stijene","70","8"
"5","Stara zvone jedne ljubavi","Ena","0","18"
"6","Ja cu po svom, ti ces po svom","Melani","10","16"
"7","Ako me ikad pozelis","Tina and Niksa","48","13"
"8","Daj daj","Branimir Mihaljevic","132","3"
"9","U ritmu ljubavi","Colonia","87","4"
"10","Na svijetu sve","Magazin","79","6"
"11","Pjesma putuje","Ivan Mikulic","61","11"
"12","Sve je za tebe","Marsell Benzon","52","12"
"13","Bez ljubavi","Alen Nizetic","63","10"
"14","Samo ti je ljubav potrebna","Andrea Cubric","42","14"
"15","Da bar vjecno zivimo","Sanja Trumbic","0","18"
"16","Ljubi me i to je to","Lana Cencic","0","18"
"17","Neka mi ne svane","Danijela","177","1"
"18","Bolero","Zrinka & Goran","133","2"
"19","Pricaj mi o ljubavi","Novi Fosili","69","9"
"20","Ruku na srce","Azzurro","83","5"
