"Rank","Name","Tenure","Leagues","Attempts","Completions","Comp %","Touchdowns","Interceptions","Yardage","QB Rating"
"1","Anthony Calvillo Category:Articles with hCards","1994-present","CFL","9437","5892","0.624","455","224","79816","95.5"
"2","Damon Allen Category:Articles with hCards","1985-2007","CFL","9138","5158","0.564","394","278","72381","83.8"
"3","Brett Favre Category:Articles with hCards","1991-2010","NFL","10169","6300","0.62","508","336","71838","86.0"
"4","Warren Moon Category:Articles with hCards","1978-2000","CFL/NFL","9205","5357","0.5820000000000001","435","310","70553","84.2"
"5","Peyton Manning Category:Articles with hCards","1998-present","NFL","8033","5260","0.655","458","211","61666","96.7"
"6","Dan Marino Category:Articles with hCards","1983-1999","NFL","8358","4967","0.594","420","252","61361","86.4"
"7","Doug Flutie Category:Articles with hCards","1985-2005","CFL/NFL/USFL","7276","4286","0.589","369","237","58179","87.8"
"8","Danny McManus Category:Articles with hCards","1988,1990-2006","CFL/NFL","6689","3640","0.544","259","281","53255","76.0"
"9","Henry Burris Category:Articles with hCards","1998-present","CFL/NFL","6043","3690","0.611","327","196","51733","93.2"
"10","John Elway Category:Articles with hCards","1983-1998","NFL","7250","4123","0.569","300","226","51475","79.9"
"11","Ron Lancaster Category:Articles with hCards","1960-1978","CFL","6233","3384","0.5429999999999999","333","396","50535","72.4"
"12","Drew Brees Category:Articles with hCards","2001-present","NFL","6386","4192","0.6559999999999999","338","170","47877","94.6"
"13","Ricky Ray Category:Articles with hCards","2002-present","CFL","5597","3780","0.675","251","143","47466","98.0"
"14","Fran Tarkenton Category:Articles with hCards","1961-1978","NFL","6487","3686","0.568","342","266","47003","80.1"
"15","Tom Brady Category:Articles with hCards","2000-present","NFL","6197","3934","0.635","342","127","46286","96.0"
"16","Vinny Testaverde Category:Articles with hCards","1987-2007","NFL","6701","3787","0.565","275","267","46233","75.0"
"17","Jim Kelly Category:Articles with hCards","1984-1996","NFL/USFL","5933","3604","0.607","320","195","45309","88.8"
"18","Drew Bledsoe Category:Articles with hCards","1993-2006","NFL","6717","3839","0.5720000000000001","251","206","44611","77.1"
"19","Matt Dunigan Category:Articles with hCards","1983-1996","CFL","5476","3057","0.5579999999999999","306","211","43857","84.5"
"20","Jeff Garcia Category:Articles with hCards","1994-2011","CFL/NFL/UFL","5955","3645","0.612","281","146","43300","88.9"
"21","Dan Fouts Category:Articles with hCards","1973-1987","NFL","5604","3297","0.588","254","242","43040","80.2"
"22","Kerry Collins Category:Articles with hCards","1995-2011","NFL","6261","3487","0.557","208","196","40922","73.8"
"23","Joe Montana Category:Articles with hCards","1979-1994","NFL","5391","3409","0.632","273","139","40551","92.3"
"24","Tracy Ham Category:Articles with hCards","1987-1999","CFL","4945","2670","0.54","284","164","40534","86.6"
