"Player","Squad no","Appearances","Tries","Goals","F Goals","Points","Contract ends"
"Steve Bannister","30","3","1","0","0","4","2009-01-01T00:00:00"
"Luke Burgess","27","3","0","0","0","0","2007-01-01T00:00:00"
"Tony Clubb","19","3","0","0","0","0","2008-01-01T00:00:00"
"Matt Gafa","18","20","8","0","0","32","2008-01-01T00:00:00"
"Jon Grayshon","20","17","3","0","0","12","2008-01-01T00:00:00"
"Daniel Heckenberg","10","14","2","0","0","8","2008-01-01T00:00:00"
"Scott Hill","6","18","5","0","0","20","2008-01-01T00:00:00"
"Lee Hopkins","12","22","3","0","0","12","2007-01-01T00:00:00"
"Zebastian Lucky Luisi","25","3","0","0","0","0","2007-01-01T00:00:00"
"Joe Mbu","29","7","0","0","0","0","2007-01-01T00:00:00"
"Louie McCarthy-Scarsbrook","17","18","6","0","0","24","2007-01-01T00:00:00"
"Mark McLinden","1","23","6","0","0","24","2009-01-01T00:00:00"
"David Mills","15","20","0","0","0","0","2007-01-01T00:00:00"
"Chris Melling","16","19","6","0","0","24","2009-01-01T00:00:00"
"Danny Orr","7","23","3","0","0","12","2009-01-01T00:00:00"
"Henry Paul","23","16","2","23","0","54","2008-01-01T00:00:00"
"Rob Purdham","13","17","3","26","0","64","2009-01-01T00:00:00"
"Chad Randall","9","25","7","0","0","28","2009-01-01T00:00:00"
"Julien Rinaldi","14","24","4","0","0","16","2008-01-01T00:00:00"
"Rikki Sheriffe","28","5","2","0","0","8","2008-01-01T00:00:00"
"Andy Smith","24","12","5","0","0","20","2007-01-01T00:00:00"
"Tyrone Smith","4","24","5","0","0","20","2007-01-01T00:00:00"
"Paul Sykes","3","24","16","33","1","141","2009-01-01T00:00:00"
"Karl Temata","8","23","2","0","0","8","2008-01-01T00:00:00"
"David Tootill","21","0","0","0","0","0","2008-01-01T00:00:00"
"Richard Villasanti","11","0","0","0","0","0","2008-01-01T00:00:00"
"Joe Walsh","26","4","0","0","0","0","2008-01-01T00:00:00"
"Jon Wells","2","22","6","0","0","24","2008-01-01T00:00:00"
"Michael Worrincy","22","12","1","0","0","4","2008-01-01T00:00:00"
