"Draw","Language","Artist","Song","English translation","Place","Points"
"1","Spanish","Azúcar Moreno",""" Bandido ""","Bandit","5","96"
"2","Greek","Christos Callow & Wave",""" Horis Skopo ""","Without a purpose","19","11"
"3","French","Philippe Lafontaine",""" Macedomienne ""","My Macedonian woman","12","46"
"4","Turkish","Kayahan feat. Demet Sağıroğlu",""" Gözlerinin Hapsindeyim ""","I'm caught in your eyes","17","21"
"5","Dutch","Maywood",""" Ik wil alles met je delen ""","I want to share everything with you","15","25"
"6","French","Celine Carzo",""" Quand je te rêve ""","When I dream of you","13","38"
"7","English","Emma",""" Give a Little Love Back to the World ""","","6","87"
"8","Icelandic","Stjórnin",""" Eitt lag enn ""","One more song","4","124"
"9","Norwegian","Ketil Stokkan",""" Brandenburger Tor ""","Brandenburg Gate","21","8"
"10","Hebrew","Rita Kleinstein",""" Shara Barkhovot ""","Singing in the streets","18","16"
"11","Danish","Lonnie Devantier",""" Hallo Hallo ""","Hello hello","8","64"
"12","German","Egon Egemann",""" Musik klingt in die Welt hinaus ""","Music resounds in the world","11","51"
"13","German","Chris Kempers & Daniel Kovac",""" Frei zu leben ""","Free to live","9","60"
"14","French","Joëlle Ursull",""" White and Black Blues ""","","2","132"
"15","Croatian","Tajči",""" Hajde da ludujemo ""","Let's go crazy","7","81"
"16","Portuguese","Nucha",""" Há sempre alguem ""","There's always someone","20","9"
"17","English","Liam Reilly",""" Somewhere In Europe ""","","2","132"
"18","Swedish","Edin-Ådahl",""" Som en vind ""","Like a wind","16","24"
"19","Italian","Toto Cutugno",""" Insieme: 1992 ""","Together: 1992","1","149"
"20","German","Simone",""" Keine Mauern mehr ""","No walls anymore","10","58"
"21","Greek","Haris Anastasiou",""" Milas Poli ""","You talk too much","14","36"
"22","Swedish","Beat",""" Fri? ""","Free?","21","8"
