"Song title","Artist","Decade (second)","Choreographer","Rating","Difficulty (Out of 7)","Character","DC2 Character","DC3 Venue","Crew"
""" Body Movin' ""","Beastie Boys","1990","Marcos Aguirre","Off The Hook","7","Oblio","Bodie","Toprock Avenue","Lu$h Crew"
""" Brick House ""","The Commodores","1970","Ricardo Foster","Off The Hook","7","Maccoy","Glitch","Free Skate","Riptide"
""" Bust a Move ""","Young MC","1980","Devin Woolridge","Hardcore","6","Mo","Mo","Toprock Avenue","Riptide"
""" C'mon N' Ride It  ""","Quad City DJ's","1990","Chanel Thompson","Simple","2","Dare","Lil' T","Invite Only","Hi - Def"
""" Can't Get You Out of My Head ""","Kylie Minogue","2000","Frenchy Hernandez","Simple","2","Miss Aubrey","Miss Aubrey","Studio 675","Hi - Def"
""" Crank That  ""","Soulja Boy Tell 'Em","2000","Devin Woolridge","Moderate","3","Mo","Mo","Toprock Avenue","Flash4wrd"
""" Days Go By ""","Dirty Vegas","2000","Ricardo Foster","Hardcore","6","Maccoy","Glitch","Studio 675","DCI"
""" Dip It Low ""","Christina Milian","2000","Frenchy Hernandez","Tough","4","Taye","Taye","Studio 675","Hi - Def"
""" Don't Sweat the Technique ""","Eric B. & Rakim","1990","Devin Woolridge","Off The Hook","7","Maccoy","Glitch","Studio 675","The Glitterati"
""" Down ""","Jay Sean","2000","Marcos Aguirre","Moderate","3","Angel","Angel","Studio 675","Ninja Crew"
""" Drop It Like It's Hot ""","Snoop Dogg feat. Pharrell Williams","2000","Frenchy Hernandez","Off The Hook","7","Taye","Taye","Studio 675","M.O.C."
""" Evacuate the Dancefloor ""","Cascada","2000","Marcos Aguirre","Warmup","1","Emilia","Emilia","Studio 675","M.O.C."
""" Flava In Ya Ear  ""","Craig Mack","1990","Frenchy Hernandez","Legit","5","Taye","Taye","Invite Only","M.O.C."
""" Funkytown ""","Lipps Inc","1980","Marcos Aguirre","Simple","2","Miss Aubrey","Miss Aubrey","Free Skate","Riptide"
""" Galang ""","M.I.A.","2000","Frenchy Hernandez","Simple","2","Dare","Lil' T","Studio 675","Riptide"
""" Hella Good ""","No Doubt","2000","Marcos Aguirre","Tough","4","Oblio","Bodie","Studio 675","M.O.C."
""" Hey Mami ""","FannyPack","2000","Marcos Aguirre","Warmup","1","Miss Aubrey","Miss Aubrey","Toprock Avenue","Riptide"
""" I Know You Want Me  ""","Pitbull","2000","Marcos Aguirre","Warmup","1","Angel","Angel","DCI HQ","M.O.C."
""" Jungle Boogie ""","Kool & the Gang","1970","Ricardo Foster","Moderate","3","Maccoy","Glitch","Free Skate","Riptide"
""" Just Dance ""","Lady Gaga ft. Colby O'Donis","2000","Marcos Aguirre","Off The Hook","7","Dare","Lil' T","Crow's Nest","Riptide"
""" King of the Dancehall ""","Beenie Man","2000","Marcos Aguirre","Tough","4","Angel","Angel","Crow's Nest","M.O.C."
""" Maneater ""","Nelly Furtado","2000","Frenchy Hernandez","Legit","5","Emilia","Emilia","Studio 675","M.O.C."
""" Move Ya Body ""","Nina Sky","2000","Frenchy Hernandez","Tough","4","Emilia","Emilia","Studio 675","Riptide"
""" Poison ""","Bell Biv DeVoe","1990","Devin Woolridge","Legit","5","Angel","Angel","Invite Only","Riptide"
""" Poker Face ""","Lady Gaga","2000","Marcos Aguirre","Warmup","1","Mo","Mo","Studio 675","Riptide"
""" Pon de Replay ""","Rihanna","2000","Frenchy Hernandez","Moderate","3","Emilia","Emilia","Studio 675","M.O.C."
""" Pump Up the Jam ""","Technotronic","1980","Marcos Aguirre","Hardcore","6","Dare","Lil' T","Toprock Avenue","M.O.C."
""" Push It ""","Salt-n-Pepa","1980","Frenchy Hernandez","Legit","5","Taye","Taye","Toprock Avenue","Riptide"
""" Rendez-Vu ""","Basement Jaxx","1990","Frenchy Hernandez","Tough","4","Miss Aubrey","Miss Aubrey","Invite Only","M.O.C."
""" Rump Shaker ""","Wreckx-n-Effect","1990","Marcos Aguirre","Moderate","3","Oblio","Bodie","Invite Only","Riptide"
""" Satisfaction ""","Benny Benassi","2000","Marcos Aguirre","Hardcore","6","Oblio","Bodie","Studio 675","Riptide"
