"District (ampere)","Counties Represented","Delegate","Party","First Elected","Committee"
"26.0","Carroll, Baltimore County","Kach, Wade Wade Kach","Republican","1974-01-01T00:00:00","Health and Government Operations"
"36.0","Baltimore County","Minnick, Joseph J. Joseph J. Minnick","Democratic","1988-01-01T00:00:00","Economic Matters"
"36.0","Baltimore County","Weir, Michael H. Jr. Michael H. Weir, Jr.","Democratic","2002-01-01T00:00:00","Environmental Matters"
"49.0","Baltimore County, Harford","Impallaria, Richard K. Richard K. Impallaria","Republican","2002-01-01T00:00:00","Economic Matters"
"49.0","Baltimore County, Harford","Jennings, J. B. J. B. Jennings","Republican","2002-01-01T00:00:00","Ways and Means"
"49.0","Baltimore County, Harford","McDonough, Patrick L. Patrick L. McDonough","Republican","1978-01-01T00:00:00","Health and Government Operations"
"64.0","Baltimore County","Schuler, Todd Todd Schuler","Democratic","2006-01-01T00:00:00","Judiciary"
"64.0","Baltimore County","Bromwell, Eric M. Eric M. Bromwell","Democratic","2002-01-01T00:00:00","Health and Government Operations"
"64.0","Baltimore County","Boteler, Joseph C. 3rd Joseph C. Boteler III","Republican","2002-01-01T00:00:00","Environmental Matters"
"10","Baltimore County","Burns, Emmett C. Jr. Emmett C. Burns, Jr.","Democratic","1994-01-01T00:00:00","Economic Matters"
"10","Baltimore County","Jones, Adrienne A. Adrienne A. Jones","Democratic","1997-01-01T00:00:00","Appropriations"
"10","Baltimore County","Nathan-Pulliam, Shirley Shirley Nathan-Pulliam","Democratic","1994-01-01T00:00:00","Health and Government Operations"
"11","Baltimore County","Cardin, Jon S. Jon S. Cardin","Democratic","2002-01-01T00:00:00","Ways and Means"
"11","Baltimore County","Morhaim, Dan K. Dan K. Morhaim","Democratic","1994-01-01T00:00:00","Health and Government Operations"
"11","Baltimore County","Stein, Dana Dana Stein","Democratic","2002-01-01T00:00:00","Environmental Matters"
"145.2","Baltimore County, Howard","DeBoy, Steven J. Sr. Steven J. DeBoy, Sr.","Democratic","2002-01-01T00:00:00","Appropriations"
"145.2","Baltimore County, Howard","Malone, James E. Jr. James E. Malone, Jr.","Democratic","1994-01-01T00:00:00","Environmental Matters"
"42","Baltimore County","Lafferty, Stephen W. Stephen W. Lafferty","Democratic","2006-01-01T00:00:00","Environmental Matters"
"42","Baltimore County","Aumann, Susan L. M. Susan L. M. Aumann","Republican","2002-01-01T00:00:00","Appropriations"
