"Callsign","Area served","Frequency","Band","On-air ID","Purpose"
"1ART","Canberra","0.0","FM","ArtSound","Community"
"1CBR","Canberra","106.3","FM","Mix 106.3","Commercial"
"1CMS","Canberra","0.0","FM","CMS","Community"
"1RPH","Canberra","1125","AM","1RPH","Community"
"1SBS","Canberra","1440","AM","SBS Radio","National"
"1VFM","Tuggeranong","0.0","FM","Valley FM","Community"
"1WAY","Canberra","0.0","FM","1WAY FM","Community"
"1XXR","Canberra","0.0","FM","2XX","Community"
"2ABCFM","Canberra","102.3","FM","ABC Classic FM","National"
"2CA","Canberra","1053","AM","2CA","Commercial"
"2CC","Canberra","1206","AM","2CC","Commercial"
"2CN","Canberra","0","AM","ABC Canberra","National"
"2JJJ","Canberra","101.5","FM","Triple J","National"
"2PNN","Canberra","103.9","FM","ABC NewsRadio","National"
"2RN","Canberra","0","AM","ABC Radio National","National"
"2ROC","Canberra","104.7","FM","104.7","Commercial"
"2SBSFM","Canberra","105.5","FM","SBS Radio","National"
