"Class","Railway number(s)","Quantity","Year(s) of manufacture","Axle arrangement"
"","26-29","4","1853","2A n2"
"","36-41, 46-49, 60-63","14","1855-1863","2A n2"
"P 1 I","88-95, 118-138","29","1870-1874","1B n2"
"P 1 II","154-159","6","1876","1B n2"
"P 1 III","1  ...28  , 160-161","9","1880-1884","1B n2"
"P 2 I","26  ...63  , 188-193","22","1891-1896","1'B1 n2"
"P 3 I","93  , 119  , 221-230","12","1898-1904","2'B1' n2i"
"P 3 II","263","1","1900","2'B1'n2v"
"P 4","133  , 286-291, 302-305","11","1905-1906","2'B1' h4v"
"S 3/6","341-350","10","1914","2'C1' h4v"
