"School","Location","Mascot","Enrollment","IHSAA Class","# / County","Year Joined","Previous Conference"
"Angola Community","Angola","Hornets","911","AAA","76 Steuben","1989-01-01T00:00:00","Northeastern Indiana"
"Central Noble","Albion","Cougars","441","AA","57 Noble","1968-01-01T00:00:00",""
"Churubusco","Churubusco","Eagles","438","AA","92 Whitley","1989-01-01T00:00:00","Allen County"
"Eastside","Butler","Blazer","498","AA","17 DeKalb","1983-01-01T00:00:00","Allen County"
"Fairfield","Goshen","Falcons","583","AA","20 Elkhart","1980-01-01T00:00:00","Northern State"
"Fremont","Fremont","Eagles","387","A","76 Steuben","1964-01-01T00:00:00","Steuben County"
"Hamilton","Hamilton","Marines","228","A","76 Steuben","1964-01-01T00:00:00","Steuben County"
"Lakeland","LaGrange","Lakers","747","AAA","44 LaGrange","1973-01-01T00:00:00","Independents"
"Prairie Heights","LaGrange","Panthers","519","AA","44 LaGrange","1964-01-01T00:00:00",""
"West Noble","Ligonier","Chargers","685","AAA","57 Noble","1967-01-01T00:00:00",""
"Westview","Topeka","Warriors","422","AA","44 LaGrange","1966-01-01T00:00:00",""
