"Saddle cloth","Horse","Trainer","Jockey","Weight (kg)","Barrier","Placing"
"1","Tawqeet","David Hayes","D Dunn","57","3","14"
"2","Blue Monday","David Hayes","N Rawiller","56","14","7"
"3","Blutigeroo","Colin Little","L Nolen","55.5","12","19"
"4","Gallic","Graeme Rogerson","S W Arnold","55.5","24","Scratched"
"5","Railings","Roger James","G Childs","55.5","18","20"
"6","Efficient","Graeme Rogerson","M Rodd","54.5","10","1"
"7","Maybe Better","Brian Mayfield-Smith","C Brown","54","7","Scratched"
"8","Tungsten Strike","Amanda Perrett","Darryll Holland","54","2","21"
"9","Zipping","Graeme Rogerson","D Nikolic","54","22","4"
"10","Black Tom","David Hayes","P A Hall","53.5","21","17"
"11","Master O'Reilly","Danny O'Brien","V Duric","53.5","17","8"
"12","Purple Moon","Luca Cumani","D Oliver","53.5","15","2"
"13","Lazer Sharp","David Hayes","B Shinn","52.5","16","10"
"14","On a Jeune","Andrew J Payne","K McEvoy","52.5","4","6"
"15","Scenic Shot","Daniel Morton","M J Zahra","52.5","19","16"
"16","Sarrera","Michael Moroney","S Murphy","52","23","18"
"17","Sculptor","Peter Mckenzie","L Cropp","52","8","9"
"18","Dolphin Jo","Terry & Karina O'Sullivan","C Lindop","51.5","1","5"
"19","Douro Valley","Danny O'Brien","J M Winks","51.5","13","11"
"20","Sirmione","Bart Cummings","P Mertens","51.5","20","12"
"21","The Fuzz","David Hayes","C Williams","51.5","11","Scratched"
"22","Eskimo Queen","Michael Moroney","C Newitt","51","5","15"
"23","Princess Coup","Mark Walker","N G Harris","51","9","13"
