"Club","City","Stadium","Capacity","2006-2007 season"
"Atalanta","Bergamo","Stadio Atleti Azzurri d'Italia","26378","8th in Serie A"
"Cagliari","Cagliari","Stadio Sant'Elia","23486","16th in Serie A"
"Catania","Catania","Stadio Angelo Massimino","23420","13th in Serie A"
"Empoli","Empoli","Stadio Carlo Castellani","19795","7th in Serie A"
"Fiorentina","Florence","Stadio Artemio Franchi","47282","6th in Serie A"
"Genoa","Genoa","Stadio Luigi Ferraris","36685","3rd in Serie B"
"Internazionale","Milan","San Siro","82955","Serie A Champions"
"Juventus","Turin","Stadio delle Alpi","69000","Serie B Champions"
"Lazio","Rome","Stadio Olimpico","82307","3rd in Serie A"
"Livorno","Livorno","Stadio Armando Picchi","19238","11th in Serie A"
"Milan","Milan","San Siro","82955","4th in Serie A"
"Napoli","Naples","Stadio San Paolo","60240","2nd in Serie B"
"Palermo","Palermo","Stadio Renzo Barbera","37242","5th in Serie A"
"Parma","Parma","Stadio Ennio Tardini","27906","12th in Serie A"
"Reggina","Reggio Calabria","Stadio Oreste Granillo","27454","16th in Serie A"
"Roma","Rome","Stadio Olimpico","82307","2nd in Serie A"
"Sampdoria","Genoa","Stadio Luigi Ferraris","36685","9th in Serie A"
"Siena","Siena","Stadio Artemio Franchi - Montepaschi Arena","15373","15th in Serie A"
"Torino","Turin","Stadio Olimpico di Torino","27168","17th in Serie A"
"Udinese","Udine","Stadio Friuli","41652","10th in Serie A"
