"Season","Winners","Runners-up","Third-place","fourth-placed","Number of clubs"
"1994-01-01T00:00:00","Dalian Wanda","Guangzhou Apollo","Shanghai Shenhua","Liaoning Yuandong","12"
"1995-01-01T00:00:00","Shanghai Shenhua","Beijing Guoan","Dalian Wanda","Guangdong Hongyuan","12"
"1996-01-01T00:00:00","Dalian Wanda","Shanghai Shenhua","August 1st","Beijing Guoan","12"
"1997-01-01T00:00:00","Dalian Wanda","Shanghai Shenhua","Beijing Guoan","Yanbian Aodong","12"
"1998-01-01T00:00:00","Dalian Wanda","Shanghai Shenhua","Beijing Guoan","Guangzhou Songri","14"
"1999-01-01T00:00:00","Shandong Luneng","Liaoning Fushun","Sichuan Quanxing","Chongqing Longxin","14"
"2000-01-01T00:00:00","Dalian Shide","Shanghai Shenhua","Sichuan Quanxing","Chongqing Longxin","14"
"2001-01-01T00:00:00","Dalian Shide","Shanghai Shenhua","Liaoning Fushun","Sichuan Quanxing","14"
"2002-01-01T00:00:00","Dalian Shide","Shenzhen Ping'an","Beijing Guoan","Shandong Luneng","15"
"2003-01-01T00:00:00","Shanghai Shenhua","Shanghai International","Dalian Shide","Shenzhen Jianlibao","15"
