"University","Common short form and abbreviation","Location","Enrollment","Athletics nickname","School Colors","Founded","Student newspaper"
"University of Akron","Akron UA","Akron","29,251","Akron Zips","blue, gold","1870-01-01T00:00:00","The Buchtelite"
"Bowling Green State University","Bowling Green State Bowling Green BGSU","Bowling Green","18,989","Bowling Green Falcons","orange, brown","1910-01-01T00:00:00","The BG News"
"Central State University","Central State CSU","Wilberforce","2,430","Central State Marauders","Maroon and Gold","1887-01-01T00:00:00","The Gold Torch"
"University of Cincinnati","Cincinnati UC","Cincinnati","41,357","Cincinnati Bearcats","red, black","1819-01-01T00:00:00","The News Record"
"Cleveland State University","Cleveland State CSU","Cleveland","15,664","Cleveland State Vikings","forest green, white","1964-01-01T00:00:00","The Cleveland Stater"
"Kent State University","Kent State Kent KSU","Kent","42,185","Kent State Golden Flashes","navy blue, gold","1910-01-01T00:00:00","The Daily Kent Stater"
"Miami University","Miami MU","Oxford","17,161","Miami RedHawks","red, white","1809-01-01T00:00:00","The Miami Student"
"Ohio State University","Ohio State OSU","Columbus","59,091","Ohio State Buckeyes","scarlet, gray","1870-01-01T00:00:00","The Lantern"
"Ohio University","Ohio OU","Athens","35,324","Ohio Bobcats","hunter green, white","1804-01-01T00:00:00","The Post"
"Shawnee State University","Shawnee State SSU","Portsmouth","4,300","Shawnee State Bears","Blue and White","1986-01-01T00:00:00","University Chronicle"
"University of Toledo","Toledo UT","Toledo","20,775","Toledo Rockets","midnight blue, gold","1872-01-01T00:00:00","The Independent Collegian"
"Wright State University","Wright State WSU","Dayton","18,786","Wright State Raiders","hunter green, gold","1965-01-01T00:00:00","The Guardian"
"Youngstown State University","Youngstown State YSU","Youngstown","14,682","Youngstown State Penguins","red, white","1908-01-01T00:00:00","The Jambar"
