"Ship","Date Commissioned","Gross Tonnage","Propulsion","Material"
"Actaeon","1842-01-01T00:00:00","650","Paddle","Wood"
"Avon","1842-01-01T00:00:00","2,069","Paddle","Wood"
"City of Glasgow","1842-01-01T00:00:00","1,700","Paddle","Wood"
"Clyde","1842-01-01T00:00:00","1,841","Paddle","Wood"
"Dee","1842-01-01T00:00:00","1,849","Paddle","Wood"
"Forth","1842-01-01T00:00:00","1,900","Paddle","Wood"
"Isis","1842-01-01T00:00:00","1,900","Paddle","Wood"
"Larne","1842-01-01T00:00:00","300","Schooner","Wood"
"Lee","1842-01-01T00:00:00","250","Schooner","Wood"
"Liffey","1842-01-01T00:00:00","350","Schooner","Wood"
"Medina","1842-01-01T00:00:00","1,800","Paddle","Wood"
"Medway","1842-01-01T00:00:00","1,895","Paddle","Wood"
"Severn","1842-01-01T00:00:00","1,886","Paddle","Wood"
"Solway","1842-01-01T00:00:00","1,700","Paddle","Wood"
"Tay","1842-01-01T00:00:00","1,858","Paddle","Wood"
"Teviot","1842-01-01T00:00:00","1,744","Paddle","Wood"
"Thames","1842-01-01T00:00:00","1,889","Paddle","Wood"
"Trent","1842-01-01T00:00:00","1,856","Paddle","Wood"
"Tweed","1842-01-01T00:00:00","1,800","Paddle","Wood"
"Reindeer","1845-01-01T00:00:00","600","Paddle","Wood"
"Conway","1846-01-01T00:00:00","895","Paddle","Wood"
"Eagle","1846-01-01T00:00:00","630","Paddle","Wood"
"Great Western","1847-01-01T00:00:00","1,775","Paddle","Wood"
"Derwent","1849-01-01T00:00:00","794","Paddle","Wood"
"Esk","1849-01-01T00:00:00","232","Screw","Wood"
"Amazon","1851-01-01T00:00:00","2,256","Paddle","Wood"
"Demerara","1851-01-01T00:00:00","2,318","Paddle","Wood"
"Oronico","1851-01-01T00:00:00","2,901","Paddle","Wood"
"Prince","1851-01-01T00:00:00","446","Paddle","Iron"
"La Plata","1852-01-01T00:00:00","2,826","Paddle","Wood"
"Magdalena","1852-01-01T00:00:00","2,943","Paddle","Wood"
"Parana","1852-01-01T00:00:00","3,070","Paddle","Wood"
"Camilla","1853-01-01T00:00:00","539","Paddle","Wood"
"Atrato","1853-01-01T00:00:00","3,184","Paddle","Iron"
"RMSRhone","1865-01-01T00:00:00","2,738","Screw","Iron"
