"Year","Population(M)","Coal","Oil","Gas","sub total","Nuclear","Hydro","Geo Thermal","Solar","Wind","Wood","Bio other","sub Total","Misc","Total"
"2011-01-01T00:00:00","313.85","5523","96","3267","8886","2518","1018","49","6.0","383","119","61","1636","147","13187"
"2010-01-01T00:00:00","309.33","5972","120","3230","9321","2609","841","49","3.9","306","120","61","1382","108","13419"
"2009-01-01T00:00:00","307.01","5719","127","3034","8881","2602","891","49","2.9","241","117","60","1361","135","12978"
"2008-01-01T00:00:00","304.38","6524","152","2939","9616","2649","837","49","2.8","182","123","58","1252","126","13642"
"2007-01-01T00:00:00","301.58","6686","218","3018","9922","2674","821","49","2.0","114","129","55","1170","121","13887"
"2006-01-01T00:00:00","298.59","6666","215","2782","9663","2636","969","49","1.7","89","130","54","1292","83","13675"
"2005-01-01T00:00:00","295.75","6806","413","2618","9838","2644","914","50","1.9","60","131","52","1209","105","13796"
"2004-01-01T00:00:00","293.05","6751","413","2475","9639","2691","916","51","2.0","48","130","53","1199","58","13588"
"2003-01-01T00:00:00","290.33","6798","411","2292","9502","2631","950","50","1.8","39","129","54","1224","41","13397"
"2002-01-01T00:00:00","287.8","6717","329","2441","9486","2710","918","50","1.9","36","134","52","1193","90","13479"
"2001-01-01T00:00:00","285.08","6679","438","2274","9390","2697","761","48","1.9","24","123","51","1009","88","13185"
"2000-01-01T00:00:00","282.17","6968","394","2179","9542","2672","977","50","1.7","20","133","82","1263","117","13594"
