"Player","Country","Score","To par","Points","Winnings ($)"
"Steve Stricker","United States","67-67-65-69=268","-16.0","9000","1,260,000"
"K.J. Choi","South Korea","64-66-70-70=270","-14.0","5400","756,000"
"Rory Sabbatini","South Africa","63-71-69-68=271","-13.0","3400","476,000"
"Mark Calcavecchia","United States","67-75-65-65=272","-12.0","2067","289,333"
"Ernie Els","South Africa","65-71-68-68=272","-12.0","2067","289,333"
"Geoff Ogilvy","Australia","68-66-69-69=272","-12.0","2067","289,333"
"Rich Beem","United States","64-68-69-72=273","-11.0","1613","225,750"
"Phil Mickelson","United States","67-70-69-67=273","-11.0","1613","225,750"
"Robert Garrigus","United States","70-70-68-66=274","-10.0","1350","189,000"
"Jerry Kelly","United States","67-70-69-68=274","-10.0","1350","189,000"
"Ian Poulter","England","70-67-70-67=274","-10.0","1350","189,000"
