"Branding","Callsign","Ch. #","Power kW (kilowatt)","Station Type","Location (Transmitter site)"
"PTV 4 Manila","DWGT-TV","TV-4","50","Originating","Metro Manila"
"PTV 8 Baguio","DWZM-TV","TV-8","5","Originating","Baguio"
"PTV 4 Laoag","DWZV-TV","TV-4","1","Relay","Laoag"
"PTV 4 Dagupan","DZDM-TV","TV-4","5","Originating","Dagupan"
"PTV 13 Vigan","DZFB-TV","TV-13","1","Relay","Vigan"
"PTV 4 Isabela","DZZA-TV","TV-4","1","Relay","Ilagan, Isabela"
"PTV 42 Pampanga","DYGS-TV","TV-4","5","Relay","San Fernando, Pampanga"
"PTV 13 Baler","DZVA-TV","TV-13","1","Relay","Baler, Aurora"
"PTV 13 Romblon","DYML-TV","TV-13","1","Affiliate","Romblon"
"PTV 4 Palawan","DYGS-TV","TV-4","5","Originating","Puerto Princesa"
"PTV 8 Naga","DWMA-TV","TV-8","1","Originating","Naga"
"PTV 4 Goa","DZGA-TV","TV-4","0.5","Affiliate","Goa, Camarines Sur"
"PTV 8 Legazpi","DZPN-TV","TV-8","1","Relay","Legazpi"
"PTV 7 Caramoran","D-7-ZV","TV-7","0.01","Affiliate","Caramoran, Catanduanes"
"PTV 9 Panganiban","D-9-ZV","TV-9","0.01","Affiliate","Panganiban, Catanduanes"
"PTV 2 San Miguel","D-2-ZV","TV-2","0.02","Affiliate","San Miguel, Catanduanes"
"PTV 5 Sorsogon","DWSN-TV","TV-5","1","Affiliate","Sorsogon"
"PTV 2 Guimaras","DYYB-TV","TV-2","5","Relay","Jordan, Guimaras"
"PTV 2 Iloilo","DYDY-TV","TV-2","5","Originating","Iloilo"
"PTV 25 Kalibo","DYSL-TV","TV-25","1","Relay","Kalibo, Aklan"
"PTV 2 Bacolod","DYTL-TV","TV-2","5","Originating","Bacolod"
"PTV 11 Cebu","DYPT-TV","TV-11","10","Originating","Cebu"
"PTV 10 Dumaguete","DYMY-TV","TV-10","10","Relay","Dumaguete"
"PTV 8 Tacloban","DYCO-TV","TV-8","5","Originating","Tacloban"
"PTV 12 Calbayog","DYWP-TV","TV-12","1","Relay","Calbayog"
"PTV 4 Borongan","DYES-TV","TV-4","5","Relay","Borongan"
"PTV 7 Zamboanga","DXVC-TV","TV-7","5","Originating","Zamboanga"
"PTV 7 Dapitan","D-7-XD","TV-7","0.5","Translator","Dapitan"
"PTV 9 Sindangan","D-9-SD","TV-9","0.5","Translator","Sindangan, Zamboanga del Norte"
"PTV 11 Sibugay","DXSI-TV","TV-11","1","Relay","Ipil, Zamboanga Sibugay"
"PTV 27 Cagayan De Oro","DXNL-TV","TV-27","5","Originating","Cagayan De Oro"
"PTV 11 Davao","DXNP-TV","TV-11","10","Originating","Davao"
"PTV 5 General Santos","DXWP-TV","TV-5","1","Originating","General Santos"
"PTV 9 Butuan","DXBN-TV","TV-9","5","Originating","Butuan"
"PTV 10 Bislig","DXCL-TV","TV-3","10","Relay","Bislig, Surigao Del Sur"
"PTV 32 Tandag","DXNT-TV","TV-32","1","Relay","Tandag, Surigao Del Sur"
"PTV 8 Agusan","DXSK-TV","TV-8","1","Originating","San Francisco, Agusan del Sur"
"PTV 4 Marawi","DXMI-TV","TV-4","5","Relay","Marawi"
"PTV 8 Cotabato","DXAA-TV","TV-8","5","Relay","Cotabato"
"PTV 8 Kidapawan","DXKN-TV","TV-8","5","Relay","Kidapawan"
