"Order Year","Manufacturer","Model","Fleet (Qty.)","Propulsion","Length (ft.)"
"1994","TMC","RTS T80206","0001-0138","Diesel","40"
"1995","NovaBus","RTS T80206","0139-0400","Diesel","40"
"1999","NFI","C40LF","6000-6001","CNG","40"
"2001","NFI","C40LF","6002-6016","CNG","40"
"2003-2004","NABI","40-LFW","2001-2299","CNG","40"
"2003-2004","Neoplan USA","AN460LF","1001-1044","CNG","60"
"2004","Neoplan USA","AN440LF","4101-4128","Electric trolleybus","40"
"2004-2005","Neoplan USA","AN440LF","0401-0593","Diesel","40"
"2004-2005","Neoplan USA","AN460LF","1101-1132","Dual mode","60"
"2006-2007","NFI","D40LF","0600-0754","Diesel","40"
"2008","NFI","D40LF","0755-0909","Diesel","40"
"2010","NFI","DE60LFR","1200-1224","Hybrid","60"
