"Rank","Sport","Gold","Silver","Bronze","Total"
"1.0","Aquatics - Swimming","11","9","6","26"
"2.0","Shooting","8","6","6","20"
"3.0","Table tennis","7","2","0","7"
"4.0","Sailing","4","6","3","13"
"5.0","Gymnastics","4","3","1","8"
"6.0","Bowling","3","0","1","4"
"7.0","Fencing","1","2","5","7"
"8.0","Wushu","1","2","0","2"
"9.0","Athletics","1","0","1","2"
"9.0","Pencak Silat","1","0","1","2"
"11.0","Triathlon","1","0","0","1"
"12.0","Aquatics - Water Polo","1","0","0","1"
"13.0","Badminton","0","4","2","6"
"14.0","Billiards and Snooker","0","2","2","4"
"15","Bodybuilding","0","1","1","2"
"15","Rugby","0","1","1","2"
"15","Softball","0","1","1","2"
"18","Hockey","0","1","0","1"
"18","Judo","0","1","0","1"
"18","Lawn bowls","0","1","0","1"
"18","Polo","0","1","0","1"
"22.0","Muay Thai","0","0","3","3"
"23.0","Canoe/Kayak","0","0","2","2"
"24","Archery","0","0","1","1"
"24","Football","0","0","1","1"
"24","Karatedo","0","0","1","1"
"24","Petanque","0","0","1","1"
"24","Rowing","0","0","1","1"
