"Date","Opponent","Score","Decision","Attendance","Record"
"2000-01-02T00:00:00","Columbus Blue Jackets","6 - 1","Budaj","14,482","19-18-1"
"2000-01-04T00:00:00","Minnesota Wild","2 - 0","Budaj","14,125","19-19-1"
"2000-01-06T00:00:00","@ Nashville Predators","2 - 1","Raycroft","13,598","20-19-1"
"2000-01-08T00:00:00","Chicago Blackhawks","2 - 1","Raycroft","15,174","21-19-1"
"2000-01-10T00:00:00","Pittsburgh Penguins","5 - 3","Raycroft","17,908","22-19-1"
"2000-01-13T00:00:00","@ Columbus Blue Jackets","4 - 3","Raycroft","15,343","22-20-1"
"2000-01-15T00:00:00","@ St. Louis Blues","5 - 2","Budaj","17,545","22-21-1"
"2000-01-16T00:00:00","Edmonton Oilers","3 - 2","Raycroft","15,681","22-22-1"
"2000-01-18T00:00:00","Calgary Flames","6 - 2","Budaj","16,113","23-22-1"
"2000-01-21T00:00:00","Los Angeles Kings","6 - 5","Raycroft","13,289","23-23-1"
"2000-01-27T00:00:00","San Jose Sharks","3 - 0","Raycroft","14,592","23-24-1"
"2000-01-29T00:00:00","Toronto Maple Leafs","7 - 4","Raycroft","15,216","23-25-1"
"2000-01-31T00:00:00","Anaheim Ducks","4 - 3","Budaj","17,652","23-26-1"
