"Year","Chassis","Engine","Start","Finish","Entrant"
"1981-01-01T00:00:00","Phoenix 80","Ford Cosworth DFX","12","4","Jerry O'Connell Racing"
"1982-01-01T00:00:00","Penske PC-10","Ford Cosworth DFX","2","30","Team Penske"
"1983-01-01T00:00:00","March 83C","Ford Cosworth DFX","22","5","Bignotti-Cotter"
"1984-01-01T00:00:00","Eagle 84SB","Pontiac V8","27","20","All American Racers"
"1985-01-01T00:00:00","March 85C","Ford Cosworth DFX","32","11","Kraco Enterprises"
"1986-01-01T00:00:00","March 86C","Ford Cosworth DFX","6","2","Patrick Racing"
"1987-01-01T00:00:00","March 87C","Chevrolet 265A","24","31","Patrick Racing"
"1988-01-01T00:00:00","March 88C","Ford Cosworth DFX","13","11","Machinist Union Racing Team"
"1989-01-01T00:00:00","March 88C","Ford Cosworth DFX","27","32","Machinist Union Racing Team"
"1990-01-01T00:00:00","Penske PC-18","Buick","15","9","Granatelli Racing"
"1991-01-01T00:00:00","Lola T91/00","Buick","16","29","Team Menard"
"1993-01-01T00:00:00","Lola T93/00","Chevrolet 265C","14","14","Galles Racing"
