"Year","Tournaments played","Cuts made*","Wins","2nd","3rd","Top 10s","Best finish","Earnings ( $ )","Money list rank","Scoring average","Scoring rank"
"2004-01-01T00:00:00","2","1","0","0","0","1","T8","","","72.6",""
"2005-01-01T00:00:00","2","1","0","0","0","1","5","","","71.0",""
"2006-01-01T00:00:00","2","2","0","0","0","0","T35","5,406","","73.86",""
"2007-01-01T00:00:00","26","18","0","1","0","2","T2","380,263","37","73.19","72"
"2008-01-01T00:00:00","26","22","1","0","1","7","1","1,138,370","8","71.78","26"
"2009-01-01T00:00:00","23","16","0","0","0","2","T5","271,303","50","72.55","67"
"2010-01-01T00:00:00","19","19","0","1","1","11","2","825,477","11","70.83","9"
"2011-01-01T00:00:00","16","15","0","0","0","3","T6","365,231","31","72.0","27"
"2012-01-01T00:00:00","24","23","2","6","1","12","1","2,287,080","1","70.21","1"
"2013-01-01T00:00:00","21","20","6","0","1","9","1","2,335,460","1","69.934","3"
