"Club","Nickname","Years in Competition","No. of Premierships","Premiership Years"
"Ardlethan","Stars","1987-2003","0",""
"Ariah Park - Mirrool","Brown Bombers","1991-2003","0",""
"Barellan United","Two Blues","1983-1992","1","1987"
"Boree Creek","Creekers","1982","0",""
"Collingullie - Ashmont - Kapooka","Demons","1982-1994; 1998-2010","8","1982, 1984, 1999, 2002-03, 2008-09-10"
"Cootamundra","Blues","1982-2003","0",""
"Junee","Bulldogs","1987","0",""
"Junee - Kapooka","Bulldogs","1982-1986","0",""
"Mangoplah - Cookardinia United","Goannas","1982-1994","5","1985, 1988-89-90, 1993"
"Royal Australian Air Force","Cats","1982-1996","0",""
"South Wagga- Tolland","Dons","1982-1997","0",""
"Uranquinty","Rosellas","1985-1986","0",""
"Uranquinty - Kapooka","Rosellas","1987-1998","0",""
"Whitton","Tigers","1982-1990","0",""
"Whitton - Yanco","Tigers","1991-1994","0",""
