"Administrative division","Area (km²) 2011**","Population 2001 Census (Adjusted)","Population 2011 Census (Adjusted)","Population density (/km² 2011)"
"Dhaka District","1463.6","9036647","12517361","8552.4"
"=> Savar Upazila","282.11","629695","1442885","5114.6"
"=> Keraniganj Upazila","166.82","649373","824538","4942.68"
"Narayanganj District","684.37","2300514","3074078","4491.8"
"=> Narayanganj Sadar Upazila","100.74","946205","1381796","13716.5"
"=> Bandar Upazila","54.39","267021","327149","6014.8"
"=> Rupganj Upazila","176.48","423135","558192","3162.9"
"Gazipur District","1806.36","2143200","3548115","1964.2"
"=> Gazipur Sadar Upazila","457.67","925454","1899575","4150.5"
"=> Kaliakair Upazila","314.13","278967","503976","1604.3"
"Narsingdi District","1150.14","1983499","2314899","2012.7"
"=> Narsingdi Sadar Upazila","213.43","606474","737362","3454.8"
"=> Palash Upazila","94.43","198106","221979","2350.7"
