"Position","Club","Played","Points","Wins","Draws","Losses","Goals for","Goals against","Goal Difference"
"1","Granada CF","38","47","22","3","13","79","45","34.0"
"2","Hercules CF","38","45","19","7","12","66","52","14.0"
"3","Real Murcia","38","43","19","5","14","68","50","18.0"
"4","Córdoba CF","38","43","19","5","14","96","66","30.0"
"5","CD Málaga","38","42","16","10","12","67","45","22.0"
"6","Real Betis","38","41","17","7","14","80","51","29.0"
"7","CD Badajoz","38","41","18","5","15","67","64","3.0"
"8","Atletico Ceuta","38","39","17","5","16","53","58","-5.0"
"9","CF Extremadura","38","39","18","3","17","61","71","-10.0"
"10","Jerez CD","38","39","15","9","14","64","56","8.0"
"11","Levante UD","38","38","14","10","14","65","68","-3.0"
"12","Cádiz CF","38","38","16","6","16","58","72","-14.0"
"13","CD Tenerife","38","37","16","5","17","71","60","11.0"
"14","CD San Fernando","38","37","17","3","18","63","79","-16.0"
"15","Alicante CF","38","37","16","5","17","63","77","-14.0"
"16","CD Eldense","38","35","16","3","19","67","78","-11.0"
"17","CD Mestalla","38","34","13","8","17","61","75","-14.0"
"18","UD España Algeciras","38","31","14","3","21","60","83","-23.0"
"19","Puente Genil CF","38","27","12","3","23","44","81","-37.0"
"20","CD Castellón","38","27","9","9","20","42","64","-22.0"
