"Coach","Years","Seasons","Lost","Pct."
"No coach","1902-06","5","15","0.545"
"Frank Castleman","1907-12","6","22","0.592"
"John McFadden","1913-14","2","9","0.526"
"James N. Ashmore","1915-17","3","10","0.615"
"Melbourne C. Evans","1918","1","2","0.818"
"Joe Mills","1919-24","6","24","0.556"
"Howard Beresford","1925-33","9","52","0.594"
"Henry Iba","1934","1","8","0.529"
"Earl Clark","1935","1","9","0.25"
"Forrest B. Cox","1936-50","13","89","0.623"
"H.B. Lee","1951-56","6","74","0.459"
"Russell ""Sox"" Walseth","1957-76","20","245","0.516"
"Bill Blair","1977-81","5","69","0.493"
"Tom Apke","1982-86","5","81","0.421"
"Tom Miller","1986-90","4","79","0.307"
"Joe Harrington","1990-96","6","85","0.459"
"Ricardo Patton","1996-2006","11","160","0.535"
"Jeff Bzdelik","2007-2010","3","58","0.383"
"Tad Boyle","2010-pres","3","36","0.657"
"Totals","Totals","110","1116","0.513"
