"Country","Airport","City","2012","Change (12/11)"
"South Africa","OR Tambo International Airport","Johannesburg","18,681,458","0.0"
"Spain","Gran Canaria Airport","Las Palmas de Gran Canaria","9,892,067","0.0"
"Spain","Tenerife Sur","Granadilla de Abona","8,530,729","0.0"
"South Africa","Cape Town International Airport","Cape Town","8,505,563","0.0"
"Morocco","Mohammed V International Airport","Casablanca","7,186,331","0.0"
"Spain","Lanzarote Airport","San Bartolome, Las Palmas","5,168,775","0.0"
"South Africa","King Shaka International Airport","Durban","4,747,224","0.0"
"Spain","Fuerteventura Airport","Puerto del Rosario","4,399,023","0.0"
"Spain","Tenerife Norte","San Cristóbal de La Laguna","3,717,944","0.0"
"Morocco","Marrakesh Menara Airport","Marrakesh","3,373,475","0.0"
"Mauritius","Sir Seewoosagur Ramgoolam International Airport","Mauritius","2,490,862","0.0"
"France","La Reunion Roland Garros Airport","Saint-Denis","1,997,800","0.0"
"Ghana","Kotoka International Airport","Accra","1,726,051","0.0"
"Morocco","Agadir-Al Massira Airport","Agadir","1,384,931","0.0"
"South Africa","Port Elizabeth Airport","Port Elizabeth","1,316,063","0.0"
"Tunisia","Monastir International Airport","Monastir","1,238,757","0.0"
