"Rank","College","First Season","Seasons","Wins","Losses"
"1","Kentucky","1903-01-01T00:00:00","110","2111","661"
"2","Kansas","1899-01-01T00:00:00","115","2101","812"
"3","North Carolina","1911-01-01T00:00:00","103","2090","745"
"4","Duke","1906-01-01T00:00:00","108","2001","840"
"5","Syracuse","1901-01-01T00:00:00","112","1874","832"
"6","Temple","1895-01-01T00:00:00","117","1814","992"
"7","St. John's","1908-01-01T00:00:00","106","1754","931"
"8","UCLA","1920-01-01T00:00:00","94","1753","779"
"9","Notre Dame","1898-01-01T00:00:00","108","1748","949"
"10","Indiana","1901-01-01T00:00:00","113","1719","966"
"11","Pennsylvania","1897-01-01T00:00:00","113","1706","1020"
"12","Louisville","1912-01-01T00:00:00","99","1697","869"
"13","Brigham Young","1903-01-01T00:00:00","111","1690","1026"
"14","Illinois","1906-01-01T00:00:00","108","1690","910"
"15","Utah","1909-01-01T00:00:00","105","1685","936"
"16","Washington","1896-01-01T00:00:00","111","1683","1095"
"17","Texas","1906-01-01T00:00:00","107","1675","994"
"18","Western Kentucky","1915-01-01T00:00:00","94","1675","844"
"19","Purdue","1897-01-01T00:00:00","115","1658","972"
"20","Oregon State","1902-01-01T00:00:00","112","1654","1251"
"21","Cincinnati","1902-01-01T00:00:00","112","1646","963"
"22","Arizona","1905-01-01T00:00:00","108","1645","900"
"23","Princeton","1901-01-01T00:00:00","113","1636","1025"
"24","West Virginia","1904-01-01T00:00:00","104","1634","1024"
"25","North Carolina State","1913-01-01T00:00:00","101","1617","980"
"26","Bradley","1903-01-01T00:00:00","109","1590","1083"
"27","Connecticut","1901-01-01T00:00:00","110","1589","888"
"28","Villanova","1921-01-01T00:00:00","93","1584","903"
"29","Missouri State","1909-01-01T00:00:00","101","1575","892"
"30","Georgetown","1907-01-01T00:00:00","105","1569","962"
"31","Ohio State","1899-01-01T00:00:00","112","1558","1009"
"32","Oklahoma State","1908-01-01T00:00:00","104","1558","1080"
"33","Alabama","1913-01-01T00:00:00","100","1556","957"
"34","Arkansas","1924-01-01T00:00:00","90","1556","880"
"35","Missouri","1907-01-01T00:00:00","107","1553","1054"
"36","Michigan State","1899-01-01T00:00:00","114","1552","1036"
"37","Oklahoma","1908-01-01T00:00:00","106","1549","1004"
"38","Kansas State","1903-01-01T00:00:00","109","1537","1075"
"39","Saint Joseph's","1910-01-01T00:00:00","104","1537","1036"
"40","Iowa","1902-01-01T00:00:00","112","1530","1078"
"41","Tennessee","1909-01-01T00:00:00","104","1528","972"
"42","Washington State","1902-01-01T00:00:00","112","1527","1406"
"43","Marquette","1917-01-01T00:00:00","96","1520","922"
"44","Illinois State","1899-01-01T00:00:00","115","1513","1095"
"45","Pittsburgh","1906-01-01T00:00:00","106","1511","1074"
"46","Vanderbilt","1901-01-01T00:00:00","111","1511","1063"
"47","Dayton","1904-01-01T00:00:00","108","1508","1053"
"48","Oregon","1903-01-01T00:00:00","108","1507","1303"
"49","Minnesota","1896-01-01T00:00:00","118","1502","1139"
"50","Murray State","1926-01-01T00:00:00","88","1501","835"
