"Name","#","Position","Height","Weight ( lb. )","Year","Hometown","Previous School"
"Karon Abraham Category:Articles with hCards","4","Guard","ft9in","150","2 Sophomore","Paterson , NJ","Paterson Eastside HS"
"Lawrence Bridges Category:Articles with hCards","24","Forward","ft5in","220","2 Junior","Detroit , MI","Columbus State Community College"
"Yann Charles Category:Articles with hCards","25","Forward","ft5in","220","2 Freshman","Longueuil , QC , Canada","Champlain Saint-Albert HS"
"Russell Johnson Category:Articles with hCards","34","Forward","ft6in","180","2 Sophomore","Chester , PA","Chester HS"
"Velton Jones Category:Articles with hCards","2","Guard","ft0in","170","2 Sophomore","Philadelphia , PA","Northeast Catholic HS"
"Treadwell Lewis Category:Articles with hCards","10","Guard","ft10in","170","2 Sophomore","Shelton , CT","Christian Heritage School"
"Anthony Myers Category:Articles with hCards","5","Guard","ft11in","170","2 Freshman","Washington, D.C.","Charis Prep"
"Elton Roy Category:Articles with hCards","15","Guard","ft2in","195","2 Freshman","Houston , TX","Yates HS"
"Lijah Thompson Category:Articles with hCards","11","Forward / Center","ft7in","200","2 Sophomore","Philadelphia , PA","Monsignor Bonner HS"
"Deion Turman Category:Articles with hCards","1","Forward / Center","ft8in","215","2 Freshman","Pittsburgh , PA","Mt. Lebanon HS"
"Gary Wallace Category:Articles with hCards","14","Guard","ft3in","200","2 Senior","Montclair , NJ","Seton Hall Preparatory School"
