"Squad No.","Name","Position","League Apps","League Goals","FA Cup Apps","FA Cup Goals","League Cup Apps","League Cup Goals","FLT Apps","FLT Goals","Total Apps","Total Goals"
"1","Scott Bevan","GK","30","0","1","0","2","0","1","0","34","0"
"2","Steve Jenkins","DF","26","0","1","0","2","0","0","0","29","0"
"4","Nathan Clarke","DF","2","0","0","0","0","0","0","0","2","0"
"5","Adie Moses","DF","40","1","1","0","1","0","1","0","43","1"
"6","Chris Holland","MF","33","0","1","0","2","0","1","0","37","0"
"7","Danny Schofield","MF","25","2","1","0","2","0","0","0","28","2"
"8","Kenny Irons","MF","29","1","0","0","1","0","0","0","30","1"
"9","Andy Booth","FW","32","6","0","0","0","0","0","0","32","6"
"10","John Thorrington","MF","16","1","0","0","0","0","1","0","17","1"
"11","Simon Baldry","MF","14","2","0","0","2","1","1","0","17","3"
"12","Kevin Gallacher","FW","5","0","0","0","1","0","0","0","6","0"
"12","Gianfranco Labarthe Tome","FW","0","0","0","0","0","0","0","0","0","0"
"13","Lee Ashcroft","FW","4","0","0","0","0","0","0","0","4","0"
"14","Jon Stead","FW","28","6","1","0","2","0","1","0","32","6"
"15","Jason Gavin","DF","10","1","0","0","0","0","0","0","10","1"
"15","Scott McDonald","FW","7","1","0","0","0","0","0","0","7","1"
"17","Eddie Youds","DF","25","0","0","0","0","0","0","0","25","0"
"19","Martin Smith","FW","35","17","1","0","1","0","1","0","38","17"
"20","Thomas Heary","DF","14","0","0","0","0","0","1","0","15","0"
"22","Kevin Sharp","DF","38","0","1","0","2","0","1","0","42","0"
"23","Jon Dyson","DF","2","0","0","0","2","0","0","0","4","0"
"27","Nat Brown","DF","36","0","1","0","1","0","1","0","39","0"
"28","Paul Scott","DF","2","0","0","0","0","0","0","0","2","0"
"29","Jon Worthington","MF","10","0","1","0","0","0","0","0","11","0"
"31","Paul Macari","FW","0","0","0","0","0","0","0","0","0","0"
"33","Dwayne Mattis","MF","27","1","1","0","1","0","1","1","30","2"
"35","Phil Senior","GK","16","0","0","0","0","0","0","0","16","0"
"37","John McCombe","DF","0","0","0","0","0","0","0","0","0","0"
"38","David Mirfin","DF","0","0","0","0","0","0","0","0","0","0"
