"Rank","Country","Year","Males","Females","Total"
"1.","South Korea","2011-01-01T00:00:00","39.3","19.7","28.4"
"2.","Hungary","2009-01-01T00:00:00","33.8","8.0","19.8"
"3.","Japan","2009-01-01T00:00:00","29.2","10.5","19.7"
"4.","Finland","2009-01-01T00:00:00","26.0","8.9","17.3"
"5.","Slovenia","2009-01-01T00:00:00","28.2","6.7","17.2"
"6.","Estonia","2009-01-01T00:00:00","31.2","4.8","16.8"
"7.","Belgium","2005-01-01T00:00:00","24.6","8.4","16.2"
"8.","Switzerland","2007-01-01T00:00:00","20.6","8.7","14.3"
"9.","France","2008-01-01T00:00:00","21.6","6.8","13.8"
"10.","Poland","2008-01-01T00:00:00","23.3","3.5","12.9"
"11.","Austria","2009-01-01T00:00:00","19.7","5.2","12.0"
"12.","Czech Republic","2009-01-01T00:00:00","20.1","3.4","11.4"
"13.","Ireland","2009-01-01T00:00:00","18.0","4.6","11.3"
"14.","New Zealand","2007-01-01T00:00:00","17.8","5.0","11.2"
"15.","Sweden","2008-01-01T00:00:00","16.1","6.0","11.0"
"16.","Chile","2007-01-01T00:00:00","18.5","4.1","11.0"
"17.","Norway","2009-01-01T00:00:00","15.7","6.2","10.9"
"18.","United States","2007-01-01T00:00:00","17.1","4.3","10.5"
"19.","Iceland","2009-01-01T00:00:00","16.6","3.9","10.3"
"20.","Canada","2004-01-01T00:00:00","15.7","4.9","10.2"
"21.","Denmark","2006-01-01T00:00:00","15.3","5.3","9.9"
"22.","Slovak Republic","2011-01-01T00:00:00","17.4","2.8","9.9"
"23.","Germany","2006-01-01T00:00:00","14.5","4.3","9.1"
"24.","Netherlands","2009-01-01T00:00:00","11.2","4.6","7.8"
"25.","Luxembourg","2008-01-01T00:00:00","13.3","2.7","7.8"
"26.","Australia","2006-01-01T00:00:00","11.9","3.3","7.5"
"27.","Portugal","2009-01-01T00:00:00","12.5","2.9","7.3"
"28.","United Kingdom","2009-01-01T00:00:00","9.8","2.6","6.2"
"29.","Spain","2008-01-01T00:00:00","9.7","2.6","6.0"
"30.","Israel","2008-01-01T00:00:00","8.8","1.6","5.0"
"31.","Italy","2007-01-01T00:00:00","8.0","2.1","4.9"
"32.","Mexico","2008-01-01T00:00:00","7.5","1.5","4.4"
"33.","Turkey","2008-01-01T00:00:00","5.36","2.5","3.94"
"34.","Greece","2009-01-01T00:00:00","4.8","0.8","2.8"
