"Episode number Production number","Title","Sydney","Melbourne","Brisbane","Adelaide","Perth","TOTAL","WEEKLY RANK","NIGHTLY RANK"
"2001-01-01T00:00:00","Welcome Aboard","575000","611000","345000","231000","219000","1980000","1","1"
"2002-02-01T00:00:00","What Lies Beneath","482000","492000","311000","194000","183000","1662000","7","1"
"2003-03-01T00:00:00","Ghost of Things Past","604000","498000","302000","191000","204000","1799000","3","1"
"2004-04-01T00:00:00","Irukandji","438000","503000","290000","197000","188000","1617000","7","1"
"2005-05-01T00:00:00","Under the Radar","480000","512000","258000","177000","173000","1601000","7","1"
"2006-06-01T00:00:00","Precious Cargo","464000","471000","281000","189000","176000","1581000","7","1"
"2007-07-01T00:00:00","Rescue Me","448000","517000","268000","184000","169000","1586000","7","1"
"2008-08-01T00:00:00","Through the Storm","452000","407000","273000","183000","150000","1466000","10","1"
"2009-09-01T00:00:00","Under the Hammer","422000","404000","235000","144000","133000","1337000","18","2"
"2010-10-01T00:00:00","Damage Control","369000","447000","237000","144000","143000","1341000","18","3"
"2011-11-01T00:00:00","Chinese Whispers","341000","414000","244000","138000","129000","1265000","27","4"
"2012-12-01T00:00:00","Deep Water","324000","399000","224000","114000","111000","1172000","",""
