"Season","Lowest","Low Team","Average","Highest","High Team","2nd Highest","2nd Team"
"1968-01-01T00:00:00","2441","Los Angeles Wolves","4699","8510","Kansas City Spurs","6840","Washington Whips"
"1969-01-01T00:00:00","1601","Baltimore Rays","2930","4273","Kansas City Spurs","3371","Atlanta Chiefs"
"1970-01-01T00:00:00","2398","Kansas City Spurs","3163","4506","Rochester Lancers","3894","Washington Darts"
"1971-01-01T00:00:00","2440","Montreal Olympique","4154","5993","Toronto Metros","5871","Rochester Lancers"
"1972-01-01T00:00:00","2112","Miami Gatos","4780","7773","St. Louis Stars","7173","Toronto Metros"
"1973-01-01T00:00:00","3317","Atlanta Apollos","5954","11501","Philadelphia Atoms","7474","Dallas Tornado"
"1974-01-01T00:00:00","3458","Toronto Metros","7770","16584","San Jose Earthquakes","13454","Seattle Sounders"
"1975-01-01T00:00:00","2641","Baltimore Comets","7930","17927","San Jose Earthquakes","16826","Seattle Sounders"
"1976-01-01T00:00:00","2571","Boston Minutemen","10295","23828","Seattle Sounders","23121","Minnesota Kicks"
"1977-01-01T00:00:00","3848","Connecticut Bicentennials","13558","34142","New York Cosmos","32775","Minnesota Kicks"
"1978-01-01T00:00:00","4188","Chicago Sting","13084","47856","New York Cosmos","30928","Minnesota Kicks"
"1979-01-01T00:00:00","5626","Philadelphia Fury","14201","46690","New York Cosmos","27650","Tampa Bay Rowdies"
"1980-01-01T00:00:00","4465","Philadelphia Fury","14440","42754","New York Cosmos","28435","Tampa Bay Rowdies"
"1981-01-01T00:00:00","4670","Dallas Tornado","14084","34835","New York Cosmos","23704","Montreal Manic"
"1982-01-01T00:00:00","4922","Edmonton Drillers","13155","28749","New York Cosmos","21348","Montreal Manic"
"1983-01-01T00:00:00","4212","San Diego Sockers","13258","29166","Vancouver Whitecaps","27242","New York Cosmos"
