"Rank","Athlete","Nation","Olympics","Gold","Silver","Bronze","Total(min. 2 medals)"
"1","Al Oerter Category:Articles with hCards","United States","1956-1968","4","0","0","4"
"2","Virgilijus Alekna Category:Articles with hCards","Lithuania","2000-2008","2","0","1","3"
"3","Ludvík Daněk Category:Articles with hCards","Czechoslovakia","1964-1972","1","1","1","3"
"4","Martin Sheridan Category:Articles with hCards","United States","1904-1908","2","0","0","2"
"4","Bud Houser Category:Articles with hCards","United States","1924-1928","2","0","0","2"
"6","Armas Taipale Category:Articles with hCards","Finland","1912-1920","1","1","0","2"
"6","Adolfo Consolini Category:Articles with hCards","Italy","1948-1952","1","1","0","2"
"6","Mac Wilkins Category:Articles with hCards","United States","1976-1984","1","1","0","2"
"6","Jürgen Schult Category:Articles with hCards","Germany","1988-1992","1","1","0","2"
"6","Romas Ubartas Category:Articles with hCards","Lithuania","1988-1992","1","1","0","2"
"6","Lars Riedel Category:Articles with hCards","Germany","1996-2000","1","1","0","2"
"12","Rolf Danneberg Category:Articles with hCards","West Germany","1984-1988","1","0","1","2"
"12","Gerd Kanter Category:Articles with hCards","Estonia","2008-2012","1","0","1","2"
