"Season","Conference","Division","Finish","Wins","Losses","Win%"
"1968-69","","Western","7th","16","66","0.195"
"1969-70","","Western","3rd ¤","39","43","0.476"
"1970-71","Western","Midwest","3rd","48","34","0.585"
"1971-72","Western","Midwest","3rd","49","33","0.598"
"1972-73","Western","Pacific","3rd","38","44","0.463"
"1973-74","Western","Pacific","4th","30","52","0.366"
"1974-75","Western","Pacific","4th","32","50","0.39"
"1975-76","Western ","Pacific","3rd ¤","42","40","0.512"
"1976-77","Western","Pacific","5th","34","48","0.415"
"1977-78","Western","Pacific","2nd ¤","49","33","0.598"
"1978-79","Western","Pacific","2nd ¤","50","32","0.61"
"1979-80","Western","Pacific","3rd ¤","55","27","0.671"
"1980-81","Western","Pacific ^","1st ¤","57","25","0.695"
"1981-82","Western","Pacific","3rd ¤","46","36","0.561"
"1982-83","Western","Pacific","2nd ¤","53","29","0.646"
"1983-84","Western","Pacific","4th ¤","41","41","0.5"
"1984-85","Western","Pacific","3rd ¤","36","46","0.439"
"1985-86","Western","Pacific","3rd","32","50","0.39"
"1986-87","Western","Pacific","5th","36","46","0.439"
"1987-88","Western","Pacific","4th","28","54","0.341"
"1988-89","Western","Pacific","2nd ¤","55","27","0.671"
"1989-90","Western","Pacific","3rd ¤","54","28","0.659"
"1990-91","Western","Pacific","3rd ¤","55","27","0.671"
"1991-92","Western","Pacific","3rd ¤","53","29","0.646"
"1992-93","Western ","Pacific ^","1st ¤","62","20","0.756"
"1993-94","Western","Pacific","2nd ¤","56","26","0.683"
"1994-95","Western","Pacific ^","1st ¤","59","23","0.72"
"1995-96","Western","Pacific","4th ¤","41","41","0.5"
"1996-97","Western","Pacific","4th ¤","40","42","0.488"
"1997-98","Western","Pacific","3rd ¤","56","26","0.683"
"1998-99 [b ]","Western","Pacific","3rd ¤","27","23","0.54"
"1999-00","Western","Pacific","3rd ¤","53","29","0.646"
"2000-01","Western","Pacific","3rd ¤","51","31","0.623"
"2001-02","Western","Pacific","6th","36","46","0.439"
"2002-03","Western","Pacific","4th ¤","44","38","0.537"
"2003-04","Western","Pacific","6th","29","53","0.354"
"2004-05","Western","Pacific ^","1st ¤","62","20","0.756"
"2005-06","Western","Pacific ^","1st ¤","54","28","0.659"
"2006-07","Western","Pacific ^","1st ¤","61","21","0.744"
"2007-08","Western","Pacific","2nd ¤","55","27","0.671"
"2008-09","Western","Pacific","2nd","46","36","0.561"
"2009-10","Western","Pacific","2nd ¤","54","28","0.659"
"2010-11","Western","Pacific","2nd","40","42","0.488"
"2011-12","Western","Pacific","3rd","33","33","0.5"
"2012-13","Western","Pacific","5th","25","57","0.305"
