"Name","Species/Authority","Order","Family","Red List"
"North Atlantic right whale","Eubalaena glacialis P.L.S. Müller, 1776","Cetacea","Balaenidae","4"
"Bryde's Whale","Balaenoptera edeni Anderson, 1878","Cetacea","Balaenopteridae","0"
"Fin Whale","Balaenoptera physalus","Cetacea","Balaenopteridae","4"
"Humpback Whale","Megaptera novaeangliae","Cetacea","Balaenopteridae","5"
"Minke Whale","Balaenoptera acutorostrata Lacepède, 1804","Cetacea","Balaenopteridae","6"
"Sei Whale","Balaenoptera borealis Lesson, 1828","Cetacea","Balaenopteridae","4"
"Atlantic Spotted Dolphin","Stenella frontalis","Cetacea","Delphinidae","0"
"Bottlenose Dolphin","Tursiops truncatus","Cetacea","Delphinidae","0"
"Common Dolphin","Delphinus delphis Linnaeus, 1758","Cetacea","Delphinidae","7"
"False Killer Whale","Pseudorca crassidens","Cetacea","Delphinidae","7"
"Risso's Dolphin","Grampus griseus","Cetacea","Delphinidae","0"
"Orca","Orcinus orca","Cetacea","Delphinidae","6"
"Spinner Dolphin","Stenella longirostris","Cetacea","Delphinidae","6"
"Rough-toothed Dolphin","Steno bredanensis","Cetacea","Delphinidae","0"
"Short-finned Pilot Whale","Globicephala macrorhynchus Gray, 1846","Cetacea","Delphinidae","6"
"Striped Dolphin","Stenella coeruleoalba","Cetacea","Delphinidae","6"
"Pygmy Sperm Whale","Kogia breviceps","Cetacea","Kogiidae","7"
"Sperm Whale","Physeter macrocephalus Linnaeus, 1758","Cetacea","Physeteridae","5"
"Gervais' Beaked Whale","Mesoplodon europaeus","Cetacea","Ziphiidae","0"
"Cuvier's Beaked Whale","Ziphius cavirostris G. Cuvier, 1823","Cetacea","Ziphiidae","0"
"True's Beaked Whale","Mesoplodon mirus True, 1913","Cetacea","Ziphiidae","0"
