"Overall ranking","Lat. Am. ranking","Countries surveyed","% rank.","Date"
"Free","","195","","2012-01-01T00:00:00"
"Vulnerable","","235","","2005-05-01T00:00:00"
"7","1","179","4","2012-01-01T00:00:00"
"7","1","141","5","2011-09-01T00:00:00"
"16","4","163","10","2010-01-01T00:00:00"
"21","1","194","11","2011-06-01T00:00:00"
"20","1","176","11","2012-12-01T00:00:00"
"19","11","151","13","2012-06-01T00:00:00"
"18","1","125","14","2010-05-01T00:00:00"
"27","2","178","15","2013-07-01T00:00:00"
"33","2","191","17","2000-06-01T00:00:00"
"24","1","134","18","2011-10-01T00:00:00"
"15","1","82","18","2009-05-01T00:00:00"
"31","2","162","19","2013-06-01T00:00:00"
"39","1","190","21","2012-03-01T00:00:00"
"32","1","150","21","2007-11-01T00:00:00"
"39","1","183","21","2011-10-01T00:00:00"
"40","1","187","21","2013-03-01T00:00:00"
"28","1","129","21","2011-03-01T00:00:00"
"36","3","167","22","2013-03-01T00:00:00"
"31","1","142","22","2011-09-01T00:00:00"
"24","1","108","22","2007-07-01T00:00:00"
"12","1","50","24","2012-09-01T00:00:00"
"39","3","153","25","2010-09-01T00:00:00"
"34","2","132","26","2012-10-01T00:00:00"
"32","4","118","27","2005-09-01T00:00:00"
"39","2","142","27","2012-04-01T00:00:00"
"39","1","141","28","2012-07-01T00:00:00"
"34","1","122","28","2008-01-01T00:00:00"
"31","1","111","28","2004-11-01T00:00:00"
"37","3","129","29","2007-11-01T00:00:00"
"42","9","146","29","2005-01-01T00:00:00"
"30","1","100","30","2010-08-01T00:00:00"
"34","4","113","30","2011-11-01T00:00:00"
"46","5","151","30","2011-02-01T00:00:00"
"41","1","132","31","2013-03-01T00:00:00"
"60","6","179","34","2013-01-01T00:00:00"
"54","3","159","34","2010-02-01T00:00:00"
"67","3","197","34","2012-05-01T00:00:00"
"57","6","139","41","2011-03-01T00:00:00"
"32","1","75","43","2006-05-01T00:00:00"
"30","1","70","43","2010-06-01T00:00:00"
"85","8","198","43","2007-07-01T00:00:00"
"30","1","66","45","2008-09-01T00:00:00"
"74","11","162","46","2013-10-01T00:00:00"
"29","1","62","47","2012-10-01T00:00:00"
"28","1","59","47","2012-05-01T00:00:00"
"37","4","72","51","2001-07-01T00:00:00"
"43","2","72","60","2007-12-01T00:00:00"
"91","17","136","67","2013-10-01T00:00:00"
"39","4","50","78","2011-11-01T00:00:00"
