"District","Counties Represented","Delegate","Party","First Elected","Committee"
"14","Montgomery","Kaiser, Anne R. Anne R. Kaiser","Democratic","2002-01-01T00:00:00","Ways and Means"
"14","Montgomery","Montgomery, Karen S. Karen S. Montgomery","Democratic","2002-01-01T00:00:00","Health and Government Operations"
"14","Montgomery","Taylor, Herman L. Jr. Herman L. Taylor, Jr.","Democratic","2002-01-01T00:00:00","Economic Matters"
"15","Montgomery","Miller, Aruna. Aruna Miller","Democratic","2010-01-01T00:00:00","Ways and Means"
"15","Montgomery","Dumais, Kathleen M. Kathleen M. Dumais","Democratic","2002-01-01T00:00:00","Judiciary"
"15","Montgomery","Feldman, Brian J. Brian J. Feldman , chair","Democratic","2002-01-01T00:00:00","Economic Matters"
"16","Montgomery","Bronrott, William A. William A. Bronrott","Democratic","1998-01-01T00:00:00","Appropriations"
"16","Montgomery","Frick, William William Frick","Democratic","2007-01-01T00:00:00","Ways and Means"
"16","Montgomery","Lee, Susan C. Susan C. Lee","Democratic","2002-01-01T00:00:00","Judiciary"
"17","Montgomery","Barve, Kumar P. Kumar P. Barve","Democratic","1990-01-01T00:00:00","Ways and Means"
"17","Montgomery","Gilchrist, James W. James W. Gilchrist","Democratic","2006-01-01T00:00:00","Ways and Means"
"17","Montgomery","Simmons, Luiz R. S. Luiz R. S. Simmons","Democratic","1978-01-01T00:00:00","Judiciary"
"18","Montgomery","Gutierrez, Ana Sol Ana Sol Gutierrez","Democratic","2002-01-01T00:00:00","Appropriations"
"18","Montgomery","Carr, Al Alfred C. Carr, Jr.","Democratic","2005-01-01T00:00:00","Environmental Matters"
"18","Montgomery","Waldstreicher, Jeff Jeff Waldstreicher","Democratic","2006-01-01T00:00:00","Judiciary"
"19","Montgomery","Heller, Henry B. Hank Heller","Democratic","1986-01-01T00:00:00","Appropriations"
"19","Montgomery","Kramer, Benjamin F. Benjamin F. Kramer","Democrati","2006-01-01T00:00:00","Judiciary"
"19","Montgomery","Manno, Roger Roger Manno","Democratic","2006-01-01T00:00:00","Economic Matters"
"20","Montgomery","Hucker, Tom Tom Hucker","Democratic","2006-01-01T00:00:00","Environmental Matters"
"20","Montgomery","Hixson, Sheila E. Sheila E. Hixson","Democratic","1976-01-01T00:00:00","Ways and Means"
"20","Montgomery","Mizeur, Heather R. Heather R. Mizeur","Democratic","2006-01-01T00:00:00","Health and Government Operations"
"39","Montgomery","Barkley, Charles E. Charles E. Barkley","Democratic","1998-01-01T00:00:00","Appropriations"
"39","Montgomery","Reznick Kirill Reznik","Democratic","2007-01-01T00:00:00","Health and Government Operations"
"39","Montgomery","Robinson, A. S. A. Shane Robinson","Democratic","2010-01-01T00:00:00","Environmental Matters"
