"Model","Launch","Code name","Transistors (million)","Die size (mm 2 )","Bus interface","Memory ( MB )","SM count","Core config 1,3","Core ( MHz )","Shader ( MHz )","Memory ( MHz )","Pixel ( GP /s)","Texture ( GT /s)","Bandwidth ( GB /s)","DRAM type","Bus width ( bit )","GFLOPS (FMA) 2","TDP (watts)","Release price (USD)"
"GeForce 405","2011-09-16T00:00:00","GT218","260","57","PCIe 2.0 x16","524288","1","16:8:4","589","1402","1580","2.4","4.7","12.6","GDDR3","64","44.9","25","OEM"
"GeForce GT 420","2010-09-03T00:00:00","GF108","585","116","PCIe 2.0 x16","2048","1","48:8:4","700","1400","1800","2.8","5.6","28.8","GDDR3","128","134.4","50","OEM"
"GeForce GT 430","2010-10-11T00:00:00","GF108","585","116","PCIe 2.0 x16","2048","2","96:16:4","700","1400","2880000","2.8","11.2","737.2800000000001","GDDR3","128","268.8","60","OEM"
"GeForce GT 430","2010-10-11T00:00:00","GF108","585","116","PCIe 2.0 x16","1024","2","96:16:4","700","1400","1800","2.8","11.2","28.8","GDDR3","128","268.8","49","$79"
"GeForce GT 440","2011-02-01T00:00:00","GF108","585","116","PCIe 2.0 x16","1073741824","2","96:16:4","810","1620","5760000","13.2","13.2","1474.5600000000002","GDDR3 GDDR5","128","311.0","65","$79"
"GeForce GT 440","2010-10-11T00:00:00","GF106","1170","238","PCIe 2.0 x16","4718592","3","144:24:24","594","1189","1800","14.26","14.26","43.2","GDDR3","192","342.4","56","OEM"
"GeForce GTS 450","2010-10-11T00:00:00","GF106","1170","238","PCIe 2.0 x16","1572864","3","144:24:24","790","1580","1804","18.96","18.96","86","GDDR5","192","455.0","106","OEM"
"GeForce GTS 450","2010-09-13T00:00:00","GF106","1170","238","PCIe 2.0 x16","1073741824","4","192:32:16","783","1566","1804","12.53","25.06","57.73","GDDR3 GDDR5","128","601.3","106","$129"
"GeForce GTX 460 SE","2010-11-15T00:00:00","GF104","1950","332","PCIe 2.0 x16","1024","6","288:48:32","650","1300","3400","20.8","31.2","108.8","GDDR5","256","748.8","150","$160?-$180?"
"GeForce GTX 460","2010-10-11T00:00:00","GF104","1950","332","PCIe 2.0 x16","1024","7","336:56:32","650","1300","3400","20.8","36.4","108.8","GDDR5","256","873.6","150","OEM"
"GeForce GTX 460","2010-07-12T00:00:00","GF104","1950","332","PCIe 2.0 x16","768","7","336:56:24","675","1350","3600","16.2","37.8","86.4","GDDR5","192","907.2","150","$199"
"GeForce GTX 460","2010-07-12T00:00:00","GF104","1950","332","PCIe 2.0 x16","1024","7","336:56:32","675","1350","3600","21.6","37.8","115.2","GDDR5","256","907.2","160","$229"
"GeForce GTX 460 v2","2011-09-24T00:00:00","GF114","1950","332","PCIe 2.0 x16","1024","7","336:56:24","778","1556","4008","18.67","43.57","96.2","GDDR5","192","1045.6","160","$199"
"GeForce GTX 465","2010-05-31T00:00:00","GF100","3200","529","PCIe 2.0 x16","1024","11","352:44:32","607","1215","3206","19.42","26.71","102.6","GDDR5","256","855.4","200","$279"
"GeForce GTX 470","2010-03-26T00:00:00","GF100","3200","529","PCIe 2.0 x16","1280","14","448:56:40","607","1215","3348","24.28","34.0","133.9","GDDR5","320","1088.6","215","$349"
