"Year","Tournaments played","Cuts made*","Wins","Top 10s","Best finish","Earnings ( $ )","Scoring average"
"1992-01-01T00:00:00","1","1","0","0","T64","","77.0"
"1993-01-01T00:00:00","3","3","0","2","4","47,319","71.09"
"1994-01-01T00:00:00","18","14","0","3","T2","127,451","71.9"
"1995-01-01T00:00:00","19","19","3","12","1","666,533","71.0"
"1996-01-01T00:00:00","20","20","3","14","1","808,311","70.47"
"1997-01-01T00:00:00","22","20","6","16","1","1,236,789","70.04"
"1998-01-01T00:00:00","21","21","4","17","1","1,092,748","69.99"
"1999-01-01T00:00:00","22","21","5","15","1","863,816","70.4"
"2000-01-01T00:00:00","22","22","5","15","1","1,404,948","70.47"
"2001-01-01T00:00:00","26","26","8","20","1","2,105,868","69.42"
"2002-01-01T00:00:00","23","22","11","20","1","2,863,904","68.7"
"2003-01-01T00:00:00","17","17","6","15","1","2,029,506","69.02"
"2004-01-01T00:00:00","18","18","8","16","1","2,544,707","68.7"
"2005-01-01T00:00:00","20","20","10","15","1","2,588,240","69.33"
"2006-01-01T00:00:00","20","19","3","16","1","1,971,741","69.82"
"2007-01-01T00:00:00","13","13","0","6","2","532,718","71.27"
"2008-01-01T00:00:00","22","22","3","10","1","1,735,912","70.47"
