"Country / Region","Name","Host(s)","Channel","Premiere / Aired","Seasons"
"Belgium","De Mol","Michiel Devlieger","VRT","1999-2000, 2003","3"
"Belgium","De Mol","","VIER","2014","1"
"Bulgaria","Karticata","Ivan Hristov Andrei Arnaudov","TV7","26 March 2013 - 17 June 2013","1"
"Catalonia","El Talp","Pol Izquierdo","TV3","Autumn 2003","1"
"Israel","Ha-Chafarperet","Itai Anghel","Channel 2","13 February 2001","1"
"Netherlands","Wie is... de Mol? Junior","Sipke Jan Bousema","Nederland 3","17 May 2008 - 21 June 2008","1"
"Netherlands","Wie is... de Mol? Junior","Art Rooijakkers","Nederland 3","2014","1"
"New Zealand","The Mole","Mark Ferguson","TV2","2001","1"
"Norway","Muldvarpen","Lars Arentz-Hansen  Ove Christian Owe","TV2","2000-2002","3"
"Poland","Agent","Marcin Meller","TVN","2000-2002","3"
"Portugal","O Sabotador","Paulo Nery","RTP1","9 September - 4 November 2001","1"
"Spain","El Traidor","Luis Larrodera Sergio Muñiz","Cuatro","12 July 2006 - 8 September 2006","1"
"Spain","El Topo","Daniel Domenjó Emilio Pineda","Telecinco","25 June - July 2009","1"
"Sweden","Mullvaden","Pontus Gårdinger  Hans Fahlen","Kanal 5","2000-01, Spring 2007","4"
