"Title","Series","Director","Production Number","Release date","reissue?"
"Dog Pounded","LT","I. Freleng","1278","1954-01-02T00:00:00","Yes"
"Captain Hareblower","MM","I. Freleng","1284","1954-01-16T00:00:00","No"
"I Gopher You","MM","I. Freleng","1277","1954-01-30T00:00:00","No"
"Feline Frame-Up","LT","Charles M. Jones","1279","1954-02-13T00:00:00","No"
"Wild Wife","MM","Robert McKimson","1280","1954-02-20T00:00:00","No"
"No Barking","MM","Charles M. Jones","1282","1954-02-27T00:00:00","Yes"
"Bugs and Thugs","LT","I. Freleng","1299","1954-03-13T00:00:00","No"
"The Cat's Bah","LT","Charles M. Jones","1285","1954-03-20T00:00:00","No"
"Design for Leaving","LT","Robert McKimson","1283","1954-03-27T00:00:00","Yes"
"Bell Hoppy","MM","Robert McKimson","1286","1954-04-17T00:00:00","No"
"No Parking Hare","LT","Robert McKimson","1301","1954-05-01T00:00:00","No"
"Dr. Jerkyl's Hide","LT","I. Freleng","1287","1954-05-08T00:00:00","No"
"Claws for Alarm","MM","Charles M. Jones","1288","1954-05-22T00:00:00","No"
"Little Boy Boo","LT","Robert McKimson","1289","1954-06-05T00:00:00","No"
"Devil May Hare","LT","Robert McKimson","1304","1954-06-19T00:00:00","No"
"Muzzle Tough","MM","I. Freleng","1290","1954-06-26T00:00:00","No"
"The Oily American","MM","Robert McKimson","1298","1954-07-10T00:00:00","No"
"Bewitched Bunny","LT","Charles M. Jones","1303","1954-07-24T00:00:00","No"
"Satan's Waitin'","LT","I. Freleng","1293","1954-08-07T00:00:00","Yes"
"Stop! Look! And Hasten!","MM","Charles M. Jones","1294","1954-08-14T00:00:00","No"
"Yankee Doodle Bugs","LT","I. Freleng","1323","1954-08-28T00:00:00","No"
"Gone Batty","LT","Robert McKimson","1292","1954-09-04T00:00:00","Yes"
"Goo Goo Goliath","MM","I. Freleng","1296","1954-09-18T00:00:00","No"
"By Word of Mouse","LT","I. Freleng","1336","1954-10-02T00:00:00","No"
"From A to Z-Z-Z-Z","LT","Charles M. Jones","1297","1954-10-16T00:00:00","Yes"
"Quack Shot","MM","Robert McKimson","1306","1954-10-30T00:00:00","No"
"Lumber Jack-Rabbit","LT","Charles M. Jones","1291","1954-11-13T00:00:00","No"
"My Little Duckaroo","MM","Charles M. Jones","1300","1954-11-27T00:00:00","No"
"Sheep Ahoy","MM","Charles M. Jones","1322","1954-12-11T00:00:00","No"
"Baby Buggy Bunny","MM","Charles M. Jones","1324","1954-12-18T00:00:00","No"
