"Locale","Skip","W","L","PF","PA","Ends Won","Ends Lost","Blank Ends","Stolen Ends","Shot Pct."
"Manitoba","Jennifer Jones","11","0","95","45","53","35","9","20","0.85"
"Ontario","Rachel Homan","10","1","87","48","50","33","16","14","0.82"
"British Columbia","Kelly Scott","8","3","89","69","53","47","3","10","0.79"
"Canada","Heather Nedohin","7","4","79","61","46","46","11","9","0.81"
"Saskatchewan","Jill Shumay","6","5","71","74","45","44","7","14","0.73"
"New Brunswick","Andrea Crawford","6","5","82","82","46","49","8","11","0.76"
"Nova Scotia","Mary-Anne Arsenault","5","6","68","76","52","44","9","18","0.79"
"Prince Edward Island","Suzanne Birt","5","6","79","83","48","47","6","11","0.73"
"Quebec","Allison Ross","3","8","60","89","43","46","13","11","0.75"
"Northwest Territories / Yukon","Kerry Galusha","2","9","58","92","40","54","9","10","0.67"
"Newfoundland and Labrador","Stacie Devereaux","2","9","59","87","37","58","6","8","0.68"
