"Position","Gymnast","Compulsory","Voluntary","Total"
"1","He Wenna","30.1","37.1","67.2"
"2","Irina Karavaeva","29.7","36.7","66.4"
"3","Rosannagh MacLennan","29.9","36.1","66.0"
"4","Karen Cockburn","28.6","37.0","65.6"
"5","Luba Golonvia","28.7","36.2","64.9"
"6","Olena Movchan","28.1","36.7","64.8"
"7","Anna Dogonadze","29.7","34.6","64.3"
"8","Ekaterina Khilko","29.1","34.8","63.9"
"9","Tatsiana Piatrenia","28.6","35.2","63.8"
"10","Claire Wright","29.1","34.0","63.1"
"11","Natalia Chernova","29.0","34.0","63.0"
"12","Haruka Hirota","28.5","34.1","62.6"
"13","Erin Blanchard","27.1","33.8","60.9"
"14","Shanshan Huang","30.0","29.0","59.0"
"15","Lenka Popkin","25.8","31.8","57.6"
"16","Ana Rente","27.1","4.5","31.6"
