"Member State","Population in thousands","Population % of EU","Area km 2","Area % of EU","Pop. density People/km 2"
"EU","502519.9","100.0","4324782","100.0","116.0"
"Austria","8404.2","1.67","83858","1.9","99.7"
"Belgium","10951.7","2.15","30510","0.7","352.0"
"Bulgaria","7504.9","1.49","110912","2.5","68.5"
"Cyprus","804.4","0.16","9250","0.2","86.6"
"Czech Republic","10532.8","2.1","78866","1.8","132.8"
"Denmark","5560.6","1.1","43094","1.0","128.1"
"Estonia","1340.2","0.27","45226","1.0","29.6"
"Finland","5375.3","1.07","337030","7.6","15.8"
"France","65075.3","12.95","643548","14.6","99.6"
"Germany","81751.6","16.27","357021","8.1","229.9"
"Greece","11325.9","2.25","131957","3.0","85.4"
"Hungary","9985.7","1.99","93030","2.1","107.8"
"Ireland","4480.8","0.89","70280","1.6","64.3"
"Italy","60626.4","12.06","301320","6.8","200.4"
"Latvia","2229.6","0.44","64589","1.5","35.0"
"Lithuania","3244.6","0.65","65200","1.5","51.4"
"Luxembourg","511.8","0.1","2586","0.1","190.1"
"Malta","417.6","0.08","316","0.0","1305.7"
"Netherlands","16655.8","3.3","41526","0.9","396.9"
"Poland","38200.0","7.6","312685","7.1","121.9"
"Portugal","10636.9","2.12","92931","2.1","114.4"
"Romania","19043.8","4.26","238391","5.4","90.2"
"Spain","47190.4","9.18","504782","11.4","93.4"
"Slovakia","5435.3","1.08","48845","1.1","110.8"
"Slovenia","2050.1","0.41","20253","0.5","101.4"
"Sweden","9415.6","1.87","449964","10.2","20.6"
