"﻿Parent Airline","Airline","Aircraft Type","Current","Future","Historic","Total","Orders","Unit Cost ($)","Total Cost (Current) ($)","Average Age"
"Aegean Airlines","Aegean Airlines","Airbus A319","1","","3","4","","90","90","11.6"
"Aegean Airlines","Olympic Air","Airbus A319","","","8","8","","90","0",""
"Aegean Airlines","Aegean Airlines","Airbus A320","38","","3","41","","98","3724","7.5"
"Aegean Airlines","Olympic Air","Airbus A320","","","9","9","","98","0",""
"Aegean Airlines","Aegean Airlines","Airbus A321","8","","","8","","115","919","10.3"
"Aegean Airlines","Olympic Air","ATR 42/72","2","","","2","","22","44","2.4"
"Aegean Airlines","Aegean Airlines","ATR 42/72","","","6","6","","22","0",""
"Aegean Airlines","Aegean Airlines","Boeing 737","","","17","17","","74","0",""
"Aegean Airlines","Aegean Airlines","British Aerospace BAe 146/Avro RJ","","","6","6","","14","0",""
"Aegean Airlines","Olympic Air","De Havilland Canada DHC-8 Dash 8","12","","7","19","","31","376","12.6"
"Aeroflot","Aeroflot","Airbus A310","","","14","14","","75","0",""
"Aeroflot","Rossiya Airlines","Airbus A319","26","","5","31","","90","2330","12.7"
"Aeroflot","Aeroflot","Airbus A319","","","15","15","","90","0",""
"Aeroflot","Aurora Airlines","Airbus A319","10","","","10","","90","896","11"
"Aeroflot","Aeroflot","Airbus A320","71","1","3","75","11","98","6958","5.7"
"Aeroflot","Rossiya Airlines","Airbus A320","5","","8","13","","98","490","15.2"
"Aeroflot","Aeroflot","Airbus A321","31","","8","39","9","115","3562","3.6"
"Aeroflot","Aeroflot","Airbus A330","22","","","22","","240","5280","5.9"
"Aeroflot","Aeroflot","Airbus A350","","","","","22","312","0",""
"Aeroflot","Aeroflot","Antonov An-124","","","3","3","","75","0",""
"Aeroflot","Rossiya Airlines","Antonov An-124","","","2","2","","75","0",""
"Aeroflot","Rossiya Airlines","Antonov An-148/An-158","","","6","6","","28","0",""
"Aeroflot","Aeroflot","Boeing 737","20","1","16","37","26","74","1480","1.6"
"Aeroflot","Pobeda","Boeing 737","12","","","12","","74","888","2.1"
"Aeroflot","Rossiya Airlines","Boeing 737","17","1","5","23","","74","1258","9.6"
"Aeroflot","Aurora Airlines","Boeing 737","","","5","5","","74","0",""
"Aeroflot","Rossiya Airlines","Boeing 747","7","2","","9","2","316","2211","16.7"
"Aeroflot","Aeroflot","Boeing 767","","","13","13","","187","0",""
"Aeroflot","Rossiya Airlines","Boeing 767","","","3","3","","187","0",""
"Aeroflot","Aeroflot","Boeing 777","15","","2","17","1","295","4418","2.5"
"Aeroflot","Rossiya Airlines","Boeing 777","6","5","1","12","5","295","1767","17.7"
"Aeroflot","Aeroflot","Boeing 787","","","","","22","265","0",""
"Aeroflot","Aurora Airlines","De Havilland Canada DHC-8 Dash 8","8","2","1","12","","31","250","14.8"
"Aeroflot","Rossiya Airlines","Ilyushin Il-62","","","1","1","","45","0",""
"Aeroflot","Aeroflot","Ilyushin Il-96","","","10","10","","45","0",""
"Aeroflot","Rossiya Airlines","Ilyushin Il-96","","","5","5","","45","0",""
"Aeroflot","Aeroflot","Irkut MC-21","","","","","50","82","0",""
"Aeroflot","Aeroflot","McDonnell Douglas DC-10","","","3","3","","145","0",""
"Aeroflot","Aeroflot","McDonnell Douglas MD-11","","","3","3","","175","0",""
"Aeroflot","Rossiya Airlines","Sukhoi Superjet 100","","","","","20","28","0",""
"Aeroflot","Aeroflot","Sukhoi Superjet 100","30","","10","40","20","28","825","2.2"
"Aeroflot","Aeroflot","Tupolev Tu-134","","","1","1","","16","0",""
"Aeroflot","Rossiya Airlines","Tupolev Tu-154","","","1","1","","16","0",""
"Aeroflot","Aeroflot","Tupolev Tu-204","","","3","3","","16","0",""
"Aeroflot","Rossiya Airlines","Tupolev Tu-204","","","2","2","","16","0",""
"Aeroflot","Rossiya Airlines","Tupolev Tu-214","","","3","3","","16","0",""
"Aeroflot","Aurora Airlines","Viking Air DHC 6-400 Twin Otter","2","","","","","7","13",""
