"Publication (Citation)","Data contributor","Year","Season","Koppen climate classification","Climate","City","Country","Building type","Cooling startegy_building level","Cooling startegy_operation mode for MM buildings","Heating strategy_building level","Age","Sex","Thermal sensation","Thermal sensation acceptability","Thermal preference","Air movement acceptability","Air movement preference","Thermal comfort","PMV","PPD","SET","Clo","Met","activity_10","activity_20","activity_30","activity_60","Air temperature (C)","Air temperature (F)","Ta_h (C)","Ta_h (F)","Ta_m (C)","Ta_m (F)","Ta_l (C)","Ta_l (F)","Operative temperature (C)","Operative temperature (F)","Radiant temperature (C)","Radiant temperature (F)","Globe temperature (C)","Globe temperature (F)","Tg_h (C)","Tg_h (F)","Tg_m (C)","Tg_m (F)","Tg_l (C)","Tg_l (F)","Relative humidity (%)","Humidity preference","Humidity sensation","Air velocity (m/s)","Air velocity (fpm)","Velocity_h (m/s)","Velocity_h (fpm)","Velocity_m (m/s)","Velocity_m (fpm)","Velocity_l (m/s)","Velocity_l (fpm)","Subject«s height (cm)","Subject«s weight (kg)","Blind (curtain)","Fan","Window","Door","Heater","Outdoor monthly air temperature (C)","Outdoor monthly air temperature (F)","Database"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","15","Female","-0.5","1","warmer","1","no change","5.0","","","","0.25","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","162","","","","","","","25.0","77.0","Database 2"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","15","Female","-2.1","1","no change","1","no change","5.0","","","","0.25","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","154","","","","","","","25.0","77.0","Database 2"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","15","Male","0.5","1","no change","1","more","6.0","","","","0.27","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","173","","","","","","","25.0","77.0","Database 2"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","14","Female","-2.5","0","no change","1","less","4.0","","","","0.23","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","167","","","","","","","25.0","77.0","Database 2"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","15","Male","-0.5","1","no change","1","no change","6.0","","","","0.34","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","178","","","","","","","25.0","77.0","Database 2"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","14","Female","1.0","1","no change","0","no change","1.0","","","","0.23","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","","","","","","","","25.0","77.0","Database 2"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","15","Male","-1.0","1","no change","1","no change","5.0","","","","0.27","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","164","","","","","","","25.0","77.0","Database 2"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","15","Female","-1.5","1","no change","1","no change","4.0","","","","0.43","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","150","","","","","","","25.0","77.0","Database 2"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","14","Female","-3.0","0","cooler","1","no change","3.0","","","","0.3","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","157","","","","","","","25.0","77.0","Database 2"
"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 : 245-252.","Kwok Alison","2000-01-01T00:00:00","Summer","Cfa","Humid subtropical","Tokyo","Japan","Classroom","Air Conditioned","","","13","Male","0.0","1","no change","1","more","5.0","","","","0.27","","","","","","24.2","75.6","24.2","75.6","","","","","","","","","24.0","75.2","24.0","75.2","","","","","50.2","","","0.06","11.81","","","","","","","174","","","","","","","25.0","77.0","Database 2"
